Event ID,Latitude (°),Longitude (°),MW,Depth (km),Strike (°),Dip (°),Rake (°),NSe
2013p542711,-41.5564,174.4046,5.8,17,212,56,122,74
2013p544960,-41.4503,174.2992,5,10,263,84,-163,49
2013p545809,-41.6019,174.2553,5,12,62,75,173,45
2013p613824,-41.7638,174.1168,5.5,5,54,68,164,37
2013p613867,-41.742,174.0495,5.9,7,59,77,175,53
2013p613947,-41.6952,174.1742,5.2,16,45,67,-166,61
2013p614135,-41.6688,174.2623,5.9,18,242,75,162,70
2013p614294,-41.6771,174.2889,5.4,14,54,78,179,56
2013p617227,-41.7699,174.0486,5.2,13,225,77,-178,55
2014p240655,-39.9703,176.5519,5.2,20,201,41,99,50
2016p858094,-42.1389,173.4363,6.1,8,81,89,171,48
2016p858260,-41.8538,174.2562,5.6,7,213,70,146,94
2016p858279,-42.2606,173.6596,6,6,250,89,-169,45
2016p858508,-41.7712,174.2409,5.1,11,218,84,-179,82
2016p858951,-42.298,173.7345,5.7,6,74,63,166,9
2016p859270,-42.3912,173.2141,5.1,11,66,81,171,40
2016p859628,-42.367,173.7613,5.1,10,56,75,114,24
2016p860567,-42.4273,173.792,5.1,5,188,77,9,55
2016p913880,-41.6823,174.1801,5.3,18,232,82,167,93
2016p981371,-41.5456,174.4562,5.3,15,43,88,-162,97
2017p012082,-41.8535,173.9854,5.3,11,254,51,-155,85
2017p795065,-42.3581,173.4589,5,11,248,58,163,68
2019p665658,-38.8513,175.906,5.1,9,209,44,-116,29
2021p064325,-38.0862,176.4939,5.1,6,4,41,-121,14
2022p901216,-38.8455,175.9419,5.7,4,255,85,-86,47
2023p204478,-38.0619,176.6899,5,3,225,47,-113,12
2023p204951,-38.054,176.7024,5,3,236,55,-98,12
2023p310616,-40.2825,176.6198,5.8,15,201,26,84,93
