Site,Latitude (°),Longitude (°),Basin,Geomorphology,Vs30,T0,NEs
ARKS,-41.24207703,174.9440964,Wellington,Valley,267,0.37,20
AWRB,-41.658785,174.076946,Marlborough,Basin,215,0.55,3
BFZ,-40.67964728,176.2462451,-,Hill,800,0.04,11
BKZ,-39.16566564,176.4925437,-,Hill,730,0.05,4
BMTS,-41.191372,174.92603,-,Hill,1000,0.05,20
BOWS,-41.279193,174.776323,Wellington,Basin Edge,267,0.62,9
BSWZ,-41.71491545,173.8757409,-,Hill,675,0.05,5
BTWS,-41.38923599,173.1285128,Nelson,Basin,500,0.7,12
BWRS,-41.43954404,173.9051179,-,Hill,679,0.05,20
CMWZ,-41.74901708,174.213825,Marlborough,Hill,800,0.05,3
CPLB,-41.278806,174.78209,Wellington,Basin,244,1.21,18
CRSZ,-42.14457,173.8154,-,Hill,1000,0.05,3
CUBS,-41.295463,174.774381,Wellington,Basin,278,0.63,4
DAVS,-41.20578668,174.9543598,Wellington,Basin Edge,300,0.6289,10
DUWZ,-40.80171461,173.9216454,-,Hill,622,0.05,23
DVHS,-40.20169649,176.1013651,SouthernHawkesBay,Basin,372,0.58,8
EBPS,-41.28942801,174.9002357,Wellington,Hill,540,0.38,7
EKTS,-40.64949542,175.7088284,SouthernHawkesBay,Valley,315,0.4,11
FAHS,-40.21353557,175.5730484,PalmerstonNorth,Basin,264,0.67,5
FAIS,-41.2074,174.9401,-,Hill,1000,0.05,18
FKPS,-41.28794769,174.7787641,Wellington,Basin Edge,323,0.41,18
FTPS,-41.1187051,175.3274418,Wairarapa,Basin,294,1,9
FXBS,-40.46136017,175.2260331,PalmerstonNorth,Basin,258,1.5,13
HAVS,-41.27227,173.78467,-,Hill,675,0.05,13
HIBS,-41.1399,175.0359,Wellington,Basin,500,1,14
HIZ,-38.51292897,174.8556861,-,Hill,800,0.05,3
HOCS,-40.62164383,175.2794232,PalmerstonNorth,Basin,250,1.8,8
HSSS,-41.15193505,174.9814773,-,Hill,526,0.22,8
HUKS,-39.26090321,174.5680897,-,Hill,270,0.7,5
HWHS,-39.58513919,174.2742448,-,Hill,210,0.6,5
INHS,-39.15622017,174.1905255,-,Hill,317,1.5,5
KAFS,-38.0835149,176.7092902,Whakatane,Basin,220,1.2,3
KEKS,-41.95569,173.98141,-,Hill,622,0.05,21
KFHS,-39.43337107,176.4669625,-,Hill,760,0.05,4
KHZ,-42.41598,173.53897,Kaikoura,Hill,600,0.05,10
KIKS,-42.42581201,173.6821252,Kaikoura,Hill,800,0.05,13
KIRS,-41.07688392,175.2300107,-,Hill,329,0.43,17
LHBS,-41.19664587,174.892316,-,Hill,626,0.05,18
LHES,-41.21168624,174.903336,Wellington,Basin,222,1.16,19
LHRS,-41.20473605,174.8931859,-,Hill,622,0.05,16
LHUS,-41.23084665,174.8936358,Wellington,Basin,212,1.75,11
LIRS,-41.23231,174.91929,Wellington,Basin Edge,400,0.25,18
LNBS,-41.20498,174.9266,Wellington,Basin,330,0.8,10
