stat_id,stat_name
1,INHS
2,TSZ
3,WAZ
4,OPSS
5,PNRS
6,BFZ
7,FXBS
8,MRZ
9,OTKS
10,THOB
11,FTPS
12,KIRS
13,MAVS
14,TMDS
15,BMTS
16,FAIS
17,LHBS
18,LHES
19,LHRS
20,LHUS
21,LIRS
22,LRSS
23,NBSS
24,PFAS
25,PGMS
26,POKS
27,POLS
28,PTOS
29,PVCS
30,PWES
31,SEVS
32,TAIS
33,ARKS
34,HIBS
35,PRKS
36,TOTS
37,UHCS
38,UHSS
39,WANS
40,DUWZ
41,CUBS
42,FKPS
43,MISS
44,MKBS
45,MKVS
46,NEWS
47,PIPS
48,SOMS
49,TEPS
50,TFSS
51,TRTS
52,VUWS
53,WEL
54,WEMS
55,WNAS
56,WNHS
57,WNKS
58,CPLB
59,EBPS
60,SEAS
61,NWFS
62,QCCS
63,TCW
64,NNZ
65,BWRS
66,MGCS
67,NCBS
68,NELS
69,NLMS
70,WDFS
71,WVFS
72,KEKS
73,MOLS
74,KIKS
75,SOCS
76,KHZ
77,PAPS
78,RCS1
79,PNMS
80,POTS
81,LNBS
82,MWZ
83,GKBS
84,RTZ
85,MTHZ
86,BKZ
87,NCDS
88,HIZ
89,KFHS
90,THHS
91,WAKS
92,WPWS
93,VRZ
94,MNGS
95,PGFS
96,DVHS
97,FAHS
98,WDPS
99,PNBS
100,EKTS
101,PHHS
102,BOWS
103,HWHS
104,TRMS
105,HOCS
106,HSSS
107,WDAS
108,HAVS
109,BTWS
110,ORCS
111,MWDS
112,HUKS
113,WRCS
114,DAVS
115,SEDS
116,WBFS
117,WCDS
118,SDNS
119,BSWZ
120,CRSZ
121,WCFS
122,WTES
123,WTYS
124,TUWZ
125,CMWZ
126,AWRB
127,TOZ
128,TIRS
129,WAIS
130,TKHS
131,TPPS
132,TUHS
133,TBAS
134,TBCS
135,MWFS
136,WKHS
137,KAFS
138,URZ
139,ROTS
140,GISS
141,WFSS
142,GWTS
