,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_1.000000000000,0.7791129882715417,0.10945540742849967,0.4714121504162374,0.7053944087269604,0.5687125951947478,1.021393510531795
pSA_1.072267222000,0.7133600696969188,0.10885997100836968,0.46697225783546703,0.70772375781192,0.5649790677147712,1.0188902560704127
pSA_1.149756995000,0.657092914085221,0.11043022747951461,0.4785081724059112,0.7038537358403497,0.5608599663021744,1.0192860512712505
pSA_1.232846739000,0.5868200108602515,0.11041284946111529,0.4823583139743955,0.6908105129400954,0.5586125524100275,1.0109088443370278
pSA_1.321941148000,0.5111849656704163,0.1098203212263793,0.48494810020655893,0.6686750256087491,0.5588574184840446,0.9973076576270046
pSA_1.417474163000,0.4487031249113977,0.10973115691665396,0.4937629409057792,0.634403383718365,0.5580290960583608,0.9786040911078118
pSA_1.519911083000,0.40135962154507493,0.1103035559633407,0.5062299242610587,0.6022122390732364,0.5364983206356733,0.9522388172889487
pSA_1.629750835000,0.3613411050821114,0.11124528708378101,0.5143116384220104,0.5945149991255801,0.5219338257066898,0.9435992073006646
pSA_1.747528400000,0.335100940408149,0.11343642401501232,0.5287937433617568,0.5897983980338434,0.5161006479366812,0.9454336846878736
pSA_1.873817423000,0.2982959399806811,0.11396379057854757,0.534304102314115,0.5804952733944797,0.5084546281158986,0.9386062779651012
pSA_2.000000000000,0.2581196452351761,0.11211309064221779,0.5258815814066546,0.5697048989804365,0.5010560565742977,0.9231317790082081
pSA_2.009233003000,0.25557413080812397,0.11192721169859864,0.5250268849058124,0.5686117282148092,0.5007080272826028,0.9217814577884331
pSA_2.154434690000,0.21728588194435058,0.11090205317463578,0.5222459765697601,0.5534351221246053,0.5010050846530205,0.9110638777234885
pSA_2.310129700000,0.18106596915190945,0.10863613634988925,0.5141538920422177,0.5285878945674345,0.49993652670571137,0.8908961318357849
pSA_2.477076356000,0.1567907573979366,0.1059363878363606,0.5023374799743437,0.5104683018170029,0.48974016310932955,0.8676210338098435
pSA_2.656087783000,0.14959228291655416,0.10361532042326453,0.4910233039780175,0.5012676127668964,0.47554203093813213,0.8476516547776423
pSA_2.848035868000,0.13957444514786185,0.10021438559217696,0.4739235761254251,0.48896674498097525,0.4615847074825152,0.8226496677726921
pSA_3.000000000000,0.12702955400484706,0.09636808749293399,0.45461690723095877,0.473936257201163,0.45279049101335594,0.7976912541718162
pSA_3.053855509000,0.12175199487110054,0.09481501862499031,0.4471021794520112,0.4667359321301102,0.4482024149895645,0.7865292073499744
pSA_3.274549163000,0.09661484873730304,0.09061031790878207,0.4273291687618394,0.4434328614925906,0.44233517131413835,0.758223796057404
pSA_3.511191734000,0.0816494412387998,0.08703683111820855,0.40786362834035766,0.4338894774771656,0.44036392408650527,0.7406302745805322
pSA_3.764935807000,0.06739350728444625,0.08539630990270024,0.40035670047426647,0.42361035825609306,0.4383022028488567,0.7292736415493551
pSA_4.000000000000,0.05693176811521448,0.08369860095282126,0.39228771843434934,0.41251190053816,0.4363826643457341,0.7172764821611773
pSA_4.037017259000,0.05429414230345236,0.08340204086218524,0.39045653440686395,0.4127727589431899,0.43602397761749034,0.7162084646553467
pSA_4.328761281000,0.04912479699358829,0.08257827439605032,0.3855689092828735,0.41471267872192313,0.42074480570823825,0.7054616794899358
pSA_4.641588834000,0.05480091565253624,0.07974358484861303,0.3697813256472364,0.4122622028797983,0.39923382133668467,0.6827049119640368
pSA_4.977023564000,0.05112855452995265,0.07488757672156546,0.34172214008445506,0.4080349816201209,0.3850211954353887,0.6568926001898089
pSA_5.000000000000,0.05032876326670765,0.07463269454495808,0.34019209507771303,0.4080323981876842,0.38423168692124493,0.6556333493336822
pSA_5.336699231000,0.04283822050955114,0.06967147306002903,0.30833100610850667,0.41081664701113213,0.37773400186322303,0.637590231224537
pSA_5.722367659000,0.037889740269199,0.06609116583378631,0.2832719971953481,0.41417497796972635,0.3776180566971161,0.6279962846346872
pSA_6.135907273000,0.025390383204133882,0.06307677309620997,0.2632400597579582,0.41161656179124617,0.37319677981933846,0.6148165250460855
pSA_6.579332247000,0.022434674468303835,0.06204553534455598,0.2551273803294677,0.41277202222276993,0.3636700150698225,0.6064046523440736
pSA_7.054802311000,0.02687071294993984,0.06316685731568268,0.2630793586182052,0.4105835306523696,0.35653449671068344,0.6040748562212069
pSA_7.500000000000,0.029049824125469137,0.06556414285661209,0.27880229538318746,0.4078821197609679,0.3506235500883052,0.6058344802073921
pSA_7.564633276000,0.029746869682740967,0.06576787219990983,0.2798616770251128,0.40698189186161576,0.35043914669101517,0.6056107777311227
pSA_8.111308308000,0.04228117494030402,0.0653658163911023,0.2798126840937822,0.3940226819407352,0.35163154304579175,0.5976568866233376
pSA_8.697490026000,0.04044265230901484,0.06201383051721251,0.26696744703865094,0.3637620402913624,0.35130984695895134,0.5718505471760882
pSA_9.326033469000,0.02422785678189567,0.060181552130774085,0.26245571646467464,0.335184633368263,0.33952522662153434,0.5445265108914412
pSA_10.000000000000,0.008642675099019555,0.05773189752755254,0.251202604747138,0.31486349104183753,0.33583903620565153,0.5244326695223526
EAS_0.050000000000,0.35439453334730153,0.06395322224399537,0.29015105357975646,0.13562873006985968,0.3009690174857146,0.4395055583267656
EAS_0.060000000000,0.20233778720361206,0.06311851341962674,0.29931283755644567,0.17738378962351672,0.281628349526465,0.44762451988725105
EAS_0.070000000000,0.14340480333837305,0.06651889626535563,0.31531234308995515,0.2164857426310113,0.2760815763166859,0.47170858297139784
EAS_0.080000000000,0.14571366531929936,0.06541750134140978,0.31446613800840567,0.2286849688551607,0.29619180697049063,0.4887896822260591
EAS_0.090000000000,0.09765451092755197,0.06168853473593041,0.2977632394576792,0.21459008524898035,0.3105974217782866,0.48081452752055515
EAS_0.100000000000,0.12193327299963452,0.06497880165347705,0.3136651400755293,0.23493645681383543,0.3449042076383835,0.5220535138139593
EAS_0.107226722000,0.12968462987535676,0.06930973141440205,0.3328784623559093,0.26340762496302295,0.3778321972738778,0.568285858425055
EAS_0.114975700000,0.14572628914100877,0.0696069642271691,0.32622728394981726,0.30925283557711347,0.3886484938338949,0.5942299292909394
EAS_0.123284674000,0.13239386916741108,0.0721380730246333,0.32994925448018103,0.3592628961505054,0.397545725606088,0.6292685778188413
EAS_0.132194115000,0.08513742569052779,0.0730794836958742,0.32182763062935105,0.4132837721956151,0.41236033386613613,0.6666464918852647
EAS_0.141747416000,0.05090485769753392,0.06547241938013033,0.2661749715854569,0.4380431010181394,0.40647472232828175,0.654180841770806
EAS_0.151991108000,0.029126916305621496,0.062124647211361406,0.24169247100873192,0.44229077692644586,0.411760882794666,0.6508328560362856
EAS_0.162975084000,0.03326972779526209,0.060635914129005125,0.2361240066692632,0.4315699970187802,0.42343569641305157,0.6490801166644548
EAS_0.174752840000,0.06557092229285631,0.06300689877182494,0.25789735807874115,0.42063015833951295,0.42724220238233146,0.6526688876491841
EAS_0.187381742000,0.07646312183814699,0.06767718353004329,0.28785309214232496,0.4297236025082688,0.4197004763071222,0.6660857805275592
EAS_0.200923300000,0.07747877027906273,0.07431963815678874,0.3318466290358761,0.42681698717183153,0.4198291039365356,0.6845081462284202
EAS_0.215443469000,0.10531399830456034,0.07977000450355919,0.36587913315034015,0.42155149873398423,0.4448510994977702,0.7137686648236161
EAS_0.231012970000,0.10800440420176428,0.08434926230753768,0.3985167876706215,0.39347307659269515,0.47545119288851323,0.7346363242297119
EAS_0.247707636000,0.12499972575717806,0.08883717700818611,0.4274050143436457,0.37717578431311916,0.4944824304389227,0.7546187730046826
EAS_0.265608778000,0.17146123877680716,0.09030495888963962,0.43340875825463726,0.38966263331409207,0.5105793158358818,0.7748363422636656
EAS_0.284803587000,0.2006988037417256,0.09067657058452822,0.4324389343156224,0.4067632470159718,0.5087314955469615,0.7818359838204275
EAS_0.305385551000,0.21660754053989265,0.09212898402738685,0.4355313722053294,0.44009340378361256,0.4834646605422831,0.7855621288110624
EAS_0.327454916000,0.2684683748606617,0.09674703254249814,0.45647291891764524,0.47131704654937295,0.4798176847735108,0.8128544117458126
EAS_0.351119173000,0.3022415408324976,0.10428358951533213,0.4967033750932321,0.4898975881228379,0.49178207392995643,0.8535593113055653
EAS_0.376493581000,0.3135138651861296,0.10971107739143189,0.5240652458693086,0.5096412277165172,0.5086148099198349,0.8905434227404342
EAS_0.403701726000,0.3142264736603219,0.11270559907711256,0.5369228265006213,0.5299040492133918,0.5278109048437234,0.9206892930093816
EAS_0.432876128000,0.32607696179378093,0.11785464622788201,0.5618055763973658,0.5557522273254552,0.5314417063764496,0.9523215481782891
EAS_0.464158883000,0.38747366272577544,0.11980007114988858,0.5685019141258473,0.578039347959733,0.5370499050480434,0.9724949946743058
EAS_0.497702356000,0.4649322955593591,0.12030496177159523,0.5662697510023912,0.601569151245402,0.5433238215175393,0.9888112305485038
EAS_0.533669923000,0.5152416296830427,0.1244729054782386,0.5859762276499147,0.6261234695396309,0.5349178500227137,1.0107105642824221
EAS_0.572236766000,0.558433634518951,0.11822414324228529,0.5502042490740836,0.6218150773348405,0.5156540184635249,0.977383124909414
EAS_0.613590727000,0.6121155737243805,0.11150246038073372,0.5137538283091417,0.604480015538506,0.5142099965727331,0.9453840520460782
EAS_0.657933225000,0.6613124480304267,0.11243581705154833,0.5140741090671209,0.6226265536561258,0.5407955752525757,0.9718003237001019
EAS_0.705480231000,0.7052945353966827,0.1143336739451013,0.507279249546191,0.6890131899295097,0.571252966245518,1.0287863550617729
EAS_0.756463328000,0.7798495279724876,0.11320207891607953,0.48275931505075415,0.7485283571502637,0.5599550313791642,1.0520935770610838
EAS_0.811130831000,0.8960821111077312,0.11348870806749167,0.4764994118704948,0.7735886515859473,0.5603905925695293,1.067487099507961
EAS_0.869749003000,1.0125194081971767,0.11489964326054075,0.4848564641248277,0.7756946625282918,0.5685584624584292,1.0770546529826628
EAS_0.932603347000,1.1036500937008922,0.11696181358911772,0.4957421027510091,0.7834039611786564,0.5746974671409594,1.0907608250980763
EAS_1.000000000000,1.2118475921390066,0.11869999713355599,0.5053180443550039,0.7893128438876437,0.5739543554487807,1.098992581237649
PGA,0.5331558592685997,0.10855574814835921,0.48902364264799725,0.6283481304505376,0.5328477289464815,0.9580669070335458
PGV,0.23696334590350882,0.09839877108619031,0.45036781874780757,0.5438413985740855,0.4682852184130702,0.8472813492287272
CAV,1.1376854717173777,0.10693848617562328,0.4525668836453488,0.7351389446246291,0.3664556083271176,0.9378356812100264
AI,1.771256524213108,0.2160980789904807,0.952971892831944,1.3501276677644363,0.8591668292489103,1.8625702102933892
Ds575,0.8758353828101388,0.08427891269817311,0.4036304627520766,0.35450661589015525,0.5543171953798395,0.7719197136134799
Ds595,0.7557766743225512,0.06883233066987271,0.32110592619131734,0.3382513806106499,0.42397472328475116,0.6302995940856823
