,pSA_1.000000000000,pSA_1.072267222000,pSA_1.149756995000,pSA_1.232846739000,pSA_1.321941148000,pSA_1.417474163000,pSA_1.519911083000,pSA_1.629750835000,pSA_1.747528400000,pSA_1.873817423000,pSA_2.000000000000,pSA_2.009233003000,pSA_2.154434690000,pSA_2.310129700000,pSA_2.477076356000,pSA_2.656087783000,pSA_2.848035868000,pSA_3.000000000000,pSA_3.053855509000,pSA_3.274549163000,pSA_3.511191734000,pSA_3.764935807000,pSA_4.000000000000,pSA_4.037017259000,pSA_4.328761281000,pSA_4.641588834000,pSA_4.977023564000,pSA_5.000000000000,pSA_5.336699231000,pSA_5.722367659000,pSA_6.135907273000,pSA_6.579332247000,pSA_7.054802311000,pSA_7.500000000000,pSA_7.564633276000,pSA_8.111308308000,pSA_8.697490026000,pSA_9.326033469000,pSA_10.000000000000,EAS_0.050000000000,EAS_0.060000000000,EAS_0.070000000000,EAS_0.080000000000,EAS_0.090000000000,EAS_0.100000000000,EAS_0.107226722000,EAS_0.114975700000,EAS_0.123284674000,EAS_0.132194115000,EAS_0.141747416000,EAS_0.151991108000,EAS_0.162975084000,EAS_0.174752840000,EAS_0.187381742000,EAS_0.200923300000,EAS_0.215443469000,EAS_0.231012970000,EAS_0.247707636000,EAS_0.265608778000,EAS_0.284803587000,EAS_0.305385551000,EAS_0.327454916000,EAS_0.351119173000,EAS_0.376493581000,EAS_0.403701726000,EAS_0.432876128000,EAS_0.464158883000,EAS_0.497702356000,EAS_0.533669923000,EAS_0.572236766000,EAS_0.613590727000,EAS_0.657933225000,EAS_0.705480231000,EAS_0.756463328000,EAS_0.811130831000,EAS_0.869749003000,EAS_0.932603347000,EAS_1.000000000000,PGA,PGV,CAV,AI,Ds575,Ds595
stat_1,0.24503888022886527,0.24376278176903426,0.24213702078016955,0.24069427547777317,0.23964361553060115,0.23743069938773428,0.22791334649746697,0.2223350681891926,0.22003546868015528,0.21678068716421675,0.21347998697752177,0.21328706425272503,0.21241794722883908,0.21032350718203868,0.2054965899322077,0.19995946240029513,0.1942647548061498,0.19012604568505515,0.18801650613321882,0.18420380408611697,0.18273812132199452,0.18117631746437068,0.17959083570967957,0.1794936706283124,0.1746347710146004,0.16718840402534146,0.16195306255973105,0.16167672999097674,0.15953406555229352,0.15961403714948133,0.15783676576923622,0.15454465948623206,0.15197892272428695,0.14986723074355765,0.14979144970188665,0.14952389902626306,0.14734383544020582,0.14123730603361073,0.13829659576953723,0.1076255739796767,0.1044724104654839,0.10951843614778635,0.11678848962180548,0.11839728174570033,0.1307758346907492,0.14424213206191658,0.15396817919969735,0.16232207233862742,0.1718109407327941,0.17120695063899588,0.1731020725834456,0.17628932902667654,0.17683865674950414,0.17514381601890266,0.17512730300132107,0.18308422576591568,0.18983408905838264,0.19331429818605098,0.19959616601007138,0.20134711606879369,0.19734117961973396,0.19900786200378515,0.20459160370409507,0.21184730406348884,0.21990680350226785,0.2231654000835138,0.22669544370675918,0.2304475853273657,0.22905782773801803,0.22180178253556945,0.220180630509661,0.23070410531873706,0.24531064566691727,0.24385997737584345,0.24500667689879424,0.24822054881036412,0.25091432992411106,0.25094325276190355,0.22810472344444782,0.20006732698330934,0.16833038227226063,0.38318775545866074,0.20516153900351017,0.1676230442299704
stat_2,0.16806413620969315,0.16712811315435827,0.16609205839801458,0.16520884313183817,0.16468126080431772,0.16352765325969984,0.15717746454733306,0.15331742546145954,0.15177772804573264,0.14957839599829895,0.14732279393159092,0.1471948790394689,0.14674493789862367,0.14557356625084128,0.14233271769932898,0.13842652521567556,0.13444558804764536,0.13163460148603331,0.13020135707905287,0.12779823816816088,0.12688837799729158,0.12595268365724513,0.12502560317872732,0.12494219275133917,0.12125942939794823,0.12010623048757889,0.11615856070903141,0.1159458293895129,0.11417806189578582,0.11411303313268638,0.11273539755830295,0.11023937262412807,0.10841201124434957,0.10699025862264573,0.10694792903856358,0.10693641561157492,0.10574950728249063,0.10171943216063624,0.09995897464025531,0.08566639593002423,0.08208745483374841,0.08400739484773943,0.0895331735981663,0.09163936473220201,0.09756666786402532,0.10725956614937929,0.11281577204636974,0.11763354217941191,0.12355197708545745,0.12234140069652306,0.123546626520022,0.1261430894247292,0.1269424014330234,0.12554033330207034,0.12576235383183657,0.13209744626115497,0.13356789791947146,0.13718047314190096,0.14161770442447086,0.14215005230817332,0.13774608784604978,0.13822310070461602,0.1420443827378635,0.14705283601700023,0.15261576641034322,0.15458222567842886,0.15680727301302294,0.1591854400858024,0.15798724976596273,0.15280425685936916,0.15168524183057588,0.1589553183477185,0.16858667835813992,0.16703140295900074,0.16766028187283863,0.16990882025251156,0.17179490789264845,0.17185600997685896,0.1569548488769508,0.137820390371258,0.11675858765834884,0.2635335607246752,0.14877046399665375,0.11827020394503994
stat_3,0.1744064041419344,0.17343741003058064,0.17234827399511546,0.171425617599259,0.17087256329002654,0.16965917463185612,0.16304803519339597,0.1590320000054376,0.1574239308493255,0.15513600224609206,0.1527958809656562,0.15266333807694976,0.15219463157229657,0.1509682557974636,0.14760588275920952,0.14355705387954953,0.13942721909297284,0.13651381781888605,0.13502730113526948,0.13252938713551352,0.13158681448023626,0.13060726081391638,0.12962931801004932,0.12954453701810031,0.1257405039307826,0.12007525278473985,0.11612584282424017,0.1159133028717356,0.11415392520328681,0.11408866153328587,0.11271621273944685,0.11022580122768336,0.10840103227844544,0.10698780619289919,0.10694013538643739,0.10692828812689958,0.10574972915501953,0.1017114083352969,0.10405781388757693,0.0966443872051682,0.08541617427955821,0.08767021547155762,0.09343699402723421,0.09550992846076338,0.10128990189648324,0.10724151621288817,0.1128066398812522,0.11761520478849058,0.12353605352407693,0.12232715879506051,0.12353107423773789,0.1261218101134912,0.12691376566662527,0.12551340097267158,0.12572674262652792,0.13206070444673748,0.13841215878172233,0.14207347334461412,0.14668088071285454,0.14728338327349152,0.1428108938682718,0.143335104190622,0.14729168297470216,0.15248749160731592,0.15825878862981263,0.16030154295145865,0.16262199288486612,0.16509766669380027,0.1638469734123903,0.1584786803078751,0.15733790205673404,0.16489423440095993,0.1749163944062067,0.17331889458697727,0.17397665040548108,0.1763090648939635,0.17826011377409962,0.17831176853449887,0.16283392392942492,0.14296775624769104,0.12083862502962407,0.27316518154616476,0.15387824363548797,0.12256212492997745
stat_4,0.19049884143704982,0.18944689537221554,0.1882349440649902,0.1872132975654781,0.186590381902954,0.18521842692727924,0.1779608478064249,0.17357059979765507,0.17180137372595394,0.16929377601196932,0.1667373924235437,0.16659248733956233,0.16606680065591198,0.16470572248390092,0.16102136023378838,0.15661164882866468,0.15211726578662652,0.14893425532639937,0.14730957994841787,0.14455212392024147,0.1435035256977493,0.14241601689937664,0.14835414337373656,0.14826213377434633,0.1439959105511078,0.13759752507955683,0.13313607376112782,0.13289715075644196,0.13095601770060877,0.1309304471278503,0.1293943372030762,0.1265666476915054,0.1244464609280739,0.122746706548363,0.12268372926783201,0.1226021832146485,0.12112931228976954,0.11637297061701204,0.12070444962934027,,,0.10928203276667157,0.11653807349141913,0.10495578332693588,0.11598255557892757,0.12146169765018339,0.12840039782247065,0.1343595151296296,0.14147161500046218,0.1404158050709616,0.14188859144109164,0.14478516769830763,0.14554589550178945,0.143978679328485,0.14412545384050615,0.15117763658237784,0.15793365101699308,0.1617033665594201,0.15939801840474407,0.1601904507176037,0.15562912256158076,0.15631474709616483,0.16063336084610508,0.16629691389137394,0.17259903301183271,0.174868189866899,0.17741809243044643,0.1801474856822875,0.1787923513420791,0.1729529368245846,0.1717310399360191,0.1799899416842317,0.19099475912006672,0.18929846934024974,0.19002822093786545,0.19257398399576092,0.19469454702501876,0.19473130011367715,0.17777331649150613,0.15605644092015494,0.13131988127483432,0.29781670081195055,0.16652415690032074,0.133314370464005
stat_5,0.1679800125574292,0.16704484802595793,0.16600746077711862,0.16512375441664964,0.1645956082758733,0.16344270808256375,0.15709261551100373,0.1532312023509099,0.15169227812478367,0.14949321936631232,0.1472384003228434,0.14711059503602394,0.1466613508204941,0.14548582012618,0.14224920978366182,0.1383462504875168,0.13436341435768265,0.13155515208607085,0.13012298735757158,0.12772295736504602,0.12681556971813704,0.12587719992667304,0.12495490095232298,0.12487206960277596,0.12119271250715448,0.1157197724622381,0.11190557756705222,0.11169986307915766,0.10999102533818135,0.10991050854970284,0.10858193970737143,0.10618106995275674,0.10844560746292088,0.1070314069424404,0.10699326884200552,0.11664490242381648,0.12116199826515585,0.14118134592972872,0.15044161785799645,,,,0.13862026710924497,0.138938895300514,0.14046212101727035,0.1441847723169037,0.1284540181684048,0.12806085190706473,0.12360931252530129,0.12237897644149699,0.118966992025156,0.12146706984727138,0.12225957250169384,0.12091864665511244,0.12114915960282288,0.12728537030218914,0.13349970220850677,0.13710854741182837,0.14154052627443436,0.1420754024761104,0.1376686654447274,0.13814212180727378,0.14195871135546642,0.14696817226612746,0.15252695487564757,0.15448811991520553,0.15671755604929213,0.1590946111224984,0.15789564294256256,0.1527167393855552,0.15159947060330592,0.1588692618488639,0.16849955906959013,0.16694729403206718,0.16757766752701192,0.16982449044391565,0.17170888382523528,0.17176893187389594,0.15686641895956357,0.13774058064055122,0.11669467290941378,0.2633801960508807,0.1487056489524767,0.11821203360391902
stat_6,0.17441833269859086,0.17344823143446222,0.17235826397268827,0.17143686956441187,0.1708874762013869,0.16968063897239227,0.16307621191359453,0.15905744160636165,0.15745144464992075,0.15516314320712524,0.15282203636972544,0.15268961985430313,0.15222519746946098,0.15100633324157123,0.1476432598274072,0.14359378969918968,0.13946167946247584,0.13654896938575867,0.13506258497845097,0.13256921340408828,0.1316271224342319,0.13064950810279571,0.12969414822706923,0.1296099997787649,0.1258017937909587,0.12013429273571594,0.11619176588383678,0.11597890202033252,0.1142230704461229,0.11415809440563716,0.11279806170689628,0.11030724796884532,0.10849732401026697,0.10708409861742219,0.10704890640430302,0.1070464082853674,0.10589889893978328,0.10190587133590638,0.10429736979026547,0.0831496911249964,0.0858101708961287,0.08448110432001185,0.0899115406639175,0.09194317610908512,0.10155212122134326,0.10748493850115116,0.11299827511358625,0.11777180158134642,0.12367843457765729,0.12243653029558015,0.12361955269428505,0.12621000919364284,0.12699393900277986,0.12559071284857393,0.12580000648969636,0.13213234603464943,0.13849549808776462,0.1421656858238309,0.14675391315580993,0.1473515156040418,0.14286432257015635,0.14337911679920035,0.14733530266227107,0.15253272333576562,0.15830363414211604,0.16034340629127483,0.1626579702339285,0.16512938512238295,0.1638722963066283,0.15849967708023469,0.1573592523284238,0.1649195546936054,0.17493123572038616,0.17332175644603912,0.17397650324226185,0.17631020286897794,0.17826109122411987,0.17831135144431387,0.1628445192135712,0.14297809073708131,0.12080767125574063,0.2731284493814811,0.15395400023475422,0.12260533363973536
stat_7,0.16235762572797774,0.16145353895308823,0.16046367189596197,0.15961227957127858,0.1591004124705102,0.15798832586870168,0.1518675056765178,0.14814620234413245,0.1466662347923114,0.14454575334688724,0.14236468130597033,0.1422407715749878,0.14180224816083928,0.14066679123953613,0.13753655286211905,0.13376246481493437,0.12991123810931512,0.1271925702056211,0.1258071484238358,0.12348463317605299,0.12260470754492422,0.12169969254052064,0.12080876201293417,0.12072699443015547,0.11716207956836278,0.11186636462811363,0.108161606937413,0.10796224804763854,0.10629343254803912,0.10619963757811472,0.1049008236496019,0.10257483157724841,0.10089846943322478,0.09962173535663747,0.09958812367840332,0.09958168868623704,0.098479182760905,0.09475492325683584,0.1040787179140556,,0.1117787837215953,0.10246503203084191,0.09774942977038636,0.09549795784551855,0.10128567618750771,0.1002801950193655,0.105285205188737,0.10965599648983207,0.11508344880478125,0.11382520278901122,0.11488965824810109,0.11730943789210638,0.118105793626584,0.11682567551968247,0.11707949641364201,0.12304258075885338,0.1291086837350382,0.13265676749095645,0.13694629862864688,0.1374314503354914,0.133113063036395,0.1335596652500868,0.1372572109818506,0.1421024132380106,0.1474759546786134,0.14937663566458304,0.15152754512643082,0.15382445280399945,0.15268401966777226,0.14767563256625663,0.14657547847441443,0.15358834230613114,0.16288094967051464,0.1613875222750298,0.16199792053266376,0.16416850849576786,0.16599544655180007,0.16606561566764413,0.15164952862928543,0.1331705035983158,0.11313500709997307,0.25491611252202073,0.14404899189198314,0.11434246937295764
stat_8,0.1381929946931967,0.13743086995790613,0.13664761395305802,0.13592358123127002,0.13545306695484222,0.13448047501592403,0.12934035183699238,0.1262377172453489,0.1250246664852001,0.12324228366179364,0.12137600941268264,0.12126782736982958,0.12085476051604566,0.11983207063648484,0.11715249013100203,0.1139499174733679,0.11066948159639574,0.10832860524107302,0.10714121525948983,0.10512652843164594,0.10435189797711754,0.1035729896389363,0.10281877339204525,0.10274715945352636,0.09972457031890591,0.0952361308706613,0.09206331503357036,0.09189232970532374,0.09041643985463207,0.09027235873479823,0.08911655355550696,0.08714626369125501,0.08579200008463353,0.08480169901787046,0.08478387982629954,0.08478451543305511,0.08570851229691025,0.08251467612413199,0.0811399110397808,0.08277526813507122,0.07448397508420126,0.07346758886116266,0.07054232646759773,0.07239468402383109,0.07994035674983284,0.08774223654277903,0.09185900904621877,0.09341612928626786,0.09791949268593364,0.09663127263025964,0.09739085820365859,0.09940683252052832,0.10018918209225232,0.09919929318222905,0.09954646704080337,0.10466192240111853,0.10994881202162654,0.11312228751952874,0.11675930948243467,0.11708492235991236,0.11329110793331286,0.11368915719422279,0.11688320744881064,0.12102457462540764,0.12559225943660712,0.127267158005797,0.12912975859500958,0.1311039615447842,0.13026624602813455,0.12601557214684328,0.12495685930164732,0.1308435552514788,0.13871997585509277,0.13755622489583114,0.13810594634447976,0.13994018870101063,0.1415208719090145,0.14164257097833205,0.1291696658812284,0.11346626915420892,0.09808762846874995,0.21882579125463142,0.12328527444099771,0.09735489659743664
stat_9,0.18181606659239977,0.18080867445862592,0.17966132544337587,0.17869303359718516,0.17810891511704924,0.17682354236438685,0.16991287778226336,0.16572118294920957,0.16403727661995451,0.16164749371582732,0.15920758972446306,0.1590694559267945,0.15857558328706908,0.15728626170744436,0.1537752690070615,0.14956095990746554,0.14526085985786863,0.1422250177635247,0.1406752989350659,0.1380605803188674,0.13707413019383302,0.13604406225309518,0.1350104951049124,0.13492288519378606,0.13097946584771197,0.12509743780151658,0.12099617500107747,0.12077587905330409,0.1189635442204619,0.11891399567228865,0.11749642520151675,0.12024970414922148,0.12438895818977042,0.129929077810291,0.12985653581939033,0.13853549323211942,0.14732419678422304,0.15417688521439898,0.1507015531546399,,,,,,0.14065799717817193,0.155336589946309,0.15392669094751935,0.1510236925822823,0.14956692614812647,0.14035502586305862,0.13480715143302763,0.13148385935181472,0.13226858734047628,0.13080927435930992,0.13100159419235718,0.13755432539043252,0.14404696604694192,0.14775777438756832,0.15255653459569848,0.1532449672756838,0.14871647697959417,0.14930871803146087,0.15342906296954462,0.15884177044865677,0.1648562042062405,0.16700070051962398,0.1694289996074091,0.17202086951007292,0.17071788562246365,0.16513244894078327,0.16395810635722907,0.171841656241204,0.18231681176429804,0.18067215446520613,0.1813629606247321,0.1837936928776879,0.18582213505152329,0.18586558189665905,0.16971011064610028,0.14899107943446568,0.12564403725078477,0.2844825795181372,0.1597559285370536,0.12753723214650195
stat_10,0.1449798549984548,0.14417664448485154,0.14333675225862125,0.14257942611324056,0.1421010442960264,0.14109618645761945,0.13568521640767026,0.1324089686792306,0.1311222643589568,0.1292455701081979,0.12729094890035658,0.1271784186687507,0.12676042930611223,0.12570891796657616,0.12290305883128967,0.11953809384759627,0.11609667576711757,0.11364962844063377,0.11240676309160795,0.1103075044651188,0.10950404809436676,0.10869079523698714,0.10788953283639358,0.10781506759096118,0.10463804430279686,0.10257250019226498,0.09916448588855967,0.09898068796849764,0.09741093403127439,0.10001883076702296,0.0987638678565988,0.10631357185391081,0.12456171401951004,0.13016679052887292,0.1300960070289044,0.13001416812256467,0.1474200488677446,0.15417688521439898,0.1507015531546399,,,,0.1386589956956621,0.1274736209705182,0.14065799717817193,0.155336589946309,0.15402104325724456,0.14217739682401861,0.14984316910625553,0.14053963393586608,0.11909318803568403,0.11033854582054553,0.11114780205209801,0.10696001073157839,0.10727830854588585,0.1127738355289183,0.11536511270075327,0.11865484071102804,0.12248538882113517,0.12284975394920447,0.11889293528688133,0.11929865191248028,0.12263518736717052,0.12697459865969138,0.13176949893149315,0.1335055903285652,0.1354474583915895,0.13750941020562665,0.13658249311027967,0.1321146196432556,0.1310439073070625,0.13724739099144326,0.14551315812171026,0.14424378196677204,0.14480644002824514,0.1467360959464189,0.14838652042965916,0.14849381733292988,0.13549236391741795,0.11901124757532586,0.10228864155599444,0.22894146446443636,0.12919840469197705,0.10216257442337727
