,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_1.000000000000,0.9595144738142112,0.11977007836866439,0.5337928308633331,0.7166932337549675,0.5724514378635804,1.0612655776493103
pSA_1.072267222000,0.8894092661981402,0.11915266207043268,0.5294313107062133,0.7182050124671827,0.5741281517580344,1.0610085236840379
pSA_1.149756995000,0.8337623576032758,0.11978256576586756,0.5343159324182964,0.7142762190671272,0.5783911864853899,1.063118242419366
pSA_1.232846739000,0.7613324916337313,0.12179384620711498,0.5492968065758848,0.7045074758761033,0.5833432213895186,1.0669334933447745
pSA_1.321941148000,0.681710509470921,0.1231027733532851,0.5615646800723747,0.6890565375816079,0.577136936187283,1.0598305737241147
pSA_1.417474163000,0.6121410068704857,0.12389943036478179,0.5706624003457617,0.6712257707941687,0.5813712928522984,1.055553026000762
pSA_1.519911083000,0.5614505863564366,0.12348053796917173,0.573467986945624,0.648805039830233,0.5798475390321157,1.042130836451056
pSA_1.629750835000,0.5221027727772108,0.1218650569626028,0.5656318943953518,0.640729906828787,0.5790005502878223,1.0323351639345149
pSA_1.747528400000,0.4865430752681705,0.12132584931621337,0.5646592523343015,0.6319959575835219,0.5708894863061603,1.0218482114402103
pSA_1.873817423000,0.44276981040242797,0.12227033181090381,0.573487887249995,0.6197299383724257,0.5589750327426778,1.0126236421135106
pSA_2.000000000000,0.41322415240357996,0.1204710818049623,0.5656476279697592,0.6073098276754139,0.553950386807236,0.9978193708596974
pSA_2.009233003000,0.41067411136683957,0.12025063201610056,0.5644950401076335,0.6067323310840521,0.5529314681432121,0.9962489550066361
pSA_2.154434690000,0.36897054716107436,0.11762320020339626,0.5500123978782558,0.6026890975706083,0.5436261022197748,0.9804474107084622
pSA_2.310129700000,0.329401149817387,0.11627842527439286,0.5463657820775967,0.5841243507590111,0.5353252210266046,0.9624395655011712
pSA_2.477076356000,0.29660764985927796,0.11458345368757941,0.5415472441832688,0.5611902321247452,0.5262723932719556,0.9408350154171082
pSA_2.656087783000,0.27079031048555824,0.11109279132110354,0.5251931823440622,0.54272663020383,0.5143704163291951,0.913759814780535
pSA_2.848035868000,0.2457485751997112,0.10838243182046833,0.5114643094315383,0.5340597548838466,0.4983192083100478,0.8917048811011564
pSA_3.000000000000,0.22540027291468112,0.10598142666825898,0.4989502039880863,0.5271278408677738,0.49045346541193163,0.875990678267895
pSA_3.053855509000,0.21735460181377758,0.10483329932600553,0.4932517240950611,0.522821147704682,0.4847630244904054,0.8669685148395394
pSA_3.274549163000,0.1859415266026857,0.10397675799505762,0.49246451584727585,0.5042046637099674,0.4752482135307468,0.8500614723299366
pSA_3.511191734000,0.16818032512253772,0.1013655815424386,0.4793474882755014,0.49342282642163166,0.4627621388072422,0.8290891974108677
pSA_3.764935807000,0.15961870860709781,0.09777539260734984,0.4629754613196844,0.4720112175791041,0.4518008067379689,0.8007901324777688
pSA_4.000000000000,0.16945587957159447,0.09634930673394143,0.45953395370766004,0.4458965706731242,0.45157648139077655,0.7835282540492848
pSA_4.037017259000,0.17039781274459587,0.09615481582337737,0.45894515434505223,0.4429136340557477,0.4525916230845006,0.7820756480133717
pSA_4.328761281000,0.18433457290187383,0.09492795494705535,0.453840319824251,0.43380097546334895,0.4420310545363219,0.7678188428175128
pSA_4.641588834000,0.20524199550092534,0.092941240587616,0.4424862034550618,0.4340289203281365,0.42837190099928807,0.7534438462785572
pSA_4.977023564000,0.2115683256839175,0.08822129832383578,0.41549436031503717,0.42933775953672787,0.4275674066272172,0.7346974631966162
pSA_5.000000000000,0.21064913153154982,0.08790799077752844,0.41356771769324857,0.42960731349329256,0.4277292280202266,0.7338616991148302
pSA_5.336699231000,0.18326098935126994,0.08142876661801335,0.3740213538111024,0.43050321328901997,0.424402180740037,0.7108742510288021
pSA_5.722367659000,0.15989846338944794,0.07619210082486691,0.34152551305873613,0.4292902247742034,0.4134565965600196,0.6869324059874551
pSA_6.135907273000,0.12643178709872988,0.072078804218319,0.3144359553378944,0.43030085713572325,0.40769619026035475,0.6710029666207146
pSA_6.579332247000,0.11541147523341501,0.07042231518824724,0.29847217891403327,0.44373441313473727,0.40379736948007855,0.6701031163819129
pSA_7.054802311000,0.12097118135609769,0.06953990539021228,0.2933612609683644,0.44034840697668903,0.39625854221793194,0.6610509672064152
pSA_7.500000000000,0.12903880849455787,0.07006869903863795,0.2986438496021252,0.4318033011719888,0.3870982759831054,0.6522938870457828
pSA_7.564633276000,0.13126449751084768,0.07009360920455236,0.2985211800268982,0.4308595187115439,0.3866454192615942,0.6513443789770269
pSA_8.111308308000,0.14950254249124506,0.06841156296261146,0.29217342985815936,0.41092666144015966,0.38852563657268935,0.6365360983256565
pSA_8.697490026000,0.16296031843993486,0.06595310920057516,0.2823056835063279,0.38865712011370346,0.39081243883700106,0.6192618333990699
pSA_9.326033469000,0.16129015276965497,0.06518558173134176,0.28172471274958694,0.36726802725838237,0.3872087794879165,0.603477635486704
pSA_10.000000000000,0.15919999239164093,0.06359559819981277,0.2754859950647286,0.3475964386072872,0.3842089617847035,0.5867983843919076
EAS_0.050000000000,0.23759562498802184,0.06841077689762293,0.3157651686543265,0.12938413600078288,0.2985023010173201,0.45337789987669136
EAS_0.060000000000,0.16587257384520748,0.060711275693899974,0.28447274789023674,0.16995456037478768,0.3105701584954807,0.45416199778528094
EAS_0.070000000000,0.1842964239176992,0.06286086126488202,0.2858129070489572,0.2499619137296552,0.2866681912474688,0.47576110394216004
