freq_Hz,N_records,n_events,n_stations
0.05,406,25,65
0.06,573,27,86
0.07,683,27,95
0.08,784,28,104
0.09,865,28,109
0.1,954,28,116
0.107226722,1015,28,119
0.1149757,1079,28,122
0.123284674,1132,28,122
0.132194115,1185,28,124
0.141747416,1231,28,127
0.151991108,1259,28,128
0.162975084,1291,28,130
0.17475284,1319,28,132
0.187381742,1347,28,134
0.2009233,1368,28,135
0.215443469,1386,28,135
0.23101297,1400,28,135
0.247707636,1415,28,135
0.265608778,1431,28,136
0.284803587,1442,28,136
0.305385551,1452,28,137
0.327454916,1456,28,137
0.351119173,1465,28,137
0.376493581,1471,28,137
0.403701726,1474,28,137
0.432876128,1478,28,137
0.464158883,1484,28,137
0.497702356,1486,28,137
0.533669923,1488,28,137
0.572236766,1488,28,137
0.613590727,1491,28,137
0.657933225,1492,28,137
0.705480231,1494,28,137
0.756463328,1496,28,137
0.811130831,1496,28,137
0.869749003,1497,28,137
0.932603347,1497,28,137
1.0,1497,28,137
