,pSA_1.000000000000,pSA_1.072267222000,pSA_1.149756995000,pSA_1.232846739000,pSA_1.321941148000,pSA_1.417474163000,pSA_1.519911083000,pSA_1.629750835000,pSA_1.747528400000,pSA_1.873817423000,pSA_2.000000000000,pSA_2.009233003000,pSA_2.154434690000,pSA_2.310129700000,pSA_2.477076356000,pSA_2.656087783000,pSA_2.848035868000,pSA_3.000000000000,pSA_3.053855509000,pSA_3.274549163000,pSA_3.511191734000,pSA_3.764935807000,pSA_4.000000000000,pSA_4.037017259000,pSA_4.328761281000,pSA_4.641588834000,pSA_4.977023564000,pSA_5.000000000000,pSA_5.336699231000,pSA_5.722367659000,pSA_6.135907273000,pSA_6.579332247000,pSA_7.054802311000,pSA_7.500000000000,pSA_7.564633276000,pSA_8.111308308000,pSA_8.697490026000,pSA_9.326033469000,pSA_10.000000000000,EAS_0.050000000000,EAS_0.060000000000,EAS_0.070000000000,EAS_0.080000000000,EAS_0.090000000000,EAS_0.100000000000,EAS_0.107226722000,EAS_0.114975700000,EAS_0.123284674000,EAS_0.132194115000,EAS_0.141747416000,EAS_0.151991108000,EAS_0.162975084000,EAS_0.174752840000,EAS_0.187381742000,EAS_0.200923300000,EAS_0.215443469000,EAS_0.231012970000,EAS_0.247707636000,EAS_0.265608778000,EAS_0.284803587000,EAS_0.305385551000,EAS_0.327454916000,EAS_0.351119173000,EAS_0.376493581000,EAS_0.403701726000,EAS_0.432876128000,EAS_0.464158883000,EAS_0.497702356000,EAS_0.533669923000,EAS_0.572236766000,EAS_0.613590727000,EAS_0.657933225000,EAS_0.705480231000,EAS_0.756463328000,EAS_0.811130831000,EAS_0.869749003000,EAS_0.932603347000,EAS_1.000000000000,PGA,PGV,CAV,AI,Ds575,Ds595
stat_1,0.24729969040325506,0.24796551094454902,0.2493444094233946,0.2506940626775224,0.2476673273205568,0.2481899362282619,0.24628437983969811,0.24544577355034541,0.24204760688365215,0.23711536292513868,0.23452628947135942,0.23413045640930552,0.23058460457310123,0.22645877592702443,0.22174216752583722,0.21631060648548275,0.2101608503643247,0.20693666860064097,0.20466100893943937,0.20008104284029496,0.1950116564615518,0.18968010078438266,0.18759810451545433,0.18768370228453377,0.18341872930599726,0.17886388642458603,0.17816899714177165,0.17824007721562232,0.17712660154658405,0.1732479924139373,0.17128736222655241,0.17079922884765295,0.16796363831801084,0.16430251077602837,0.16412116859519463,0.1635101566329568,0.16261525532294233,0.15971819789689573,0.15696860255345826,0.10411765770690459,0.10904102478767892,0.11676890340705913,0.1276742813244198,0.13773093277643506,0.15706181154501694,0.16637869735769742,0.17102401044707813,0.1757455257838853,0.1828478763322758,0.18402070877094862,0.18519344084900638,0.18547276353844064,0.1881241949029872,0.1917840527556295,0.1937706953769676,0.19407987928063228,0.20147235840258684,0.20642790509844072,0.21082126050764677,0.21008132663205184,0.21086068961595716,0.2114786750813455,0.21849980041597078,0.2261428679980549,0.23514416346924039,0.2375952747178646,0.23439517728165207,0.24113093684637396,0.2460735915534133,0.24229300039212778,0.24363353915070893,0.24596638101542448,0.24500197723182085,0.24746387829295952,0.251369224439903,0.25026431107681646,0.25201887305687404,0.2517060530265482,0.23219344256430732,0.20828667475677548,0.1680868097250097,0.38632791298566094,0.1987656826474086,0.16364507323505398
stat_2,0.16988444355000787,0.1703166328490277,0.1713305065267616,0.17242083833823107,0.17047544743333276,0.17105032961431568,0.16995736494083805,0.16943698540584357,0.16710910582205965,0.16375480758529082,0.16203793775670144,0.16175792331227662,0.15922384043891677,0.1565011212011303,0.1534161663401922,0.14972409609283496,0.14536560804485898,0.14310525423370848,0.14150929614095925,0.13847364128447356,0.13495292606215337,0.13138831690137806,0.13034986455119688,0.13047851169976238,0.1275073304425844,0.12872726606718574,0.1282515944482781,0.12829639823658812,0.12732781068188503,0.1243433185653389,0.1227525157201712,0.1221088078427735,0.12001802825226476,0.11746403497451582,0.11733855585650488,0.1171942612628173,0.11693163062158726,0.11526881717580333,0.1137126874871075,0.08362638742859645,0.08718264009022364,0.08877630531677569,0.0973872381210637,0.1056129808994229,0.11652899504869037,0.12276343071959502,0.12469327224318029,0.1271185848461264,0.13114264084078056,0.13152424737279397,0.132427389608587,0.13316026031816364,0.13610268885913226,0.13918501838915256,0.1404879660339301,0.14057069148114354,0.14150790800882673,0.14527523654365215,0.14721251358307372,0.14605846637457134,0.14611245992734373,0.14612883701261714,0.15112126805313705,0.15661865385026197,0.16273779694220636,0.16392300655698233,0.16140729690901717,0.16623344617716213,0.16966790662096645,0.16682785268803269,0.1677349568253848,0.16928996957126988,0.16834121442330163,0.1698629541360878,0.17237496382801615,0.17151201065585903,0.17276285082423887,0.17254218571573712,0.159917134302717,0.14364078261077198,0.11702106428100334,0.26622384755420014,0.14895023569985968,0.11542139458083096
stat_3,0.17624498413318834,0.1766979983472455,0.17774890790720574,0.17887162962979528,0.17684072525945188,0.17743095869074874,0.17628996526833607,0.1757498270721741,0.17333112053745672,0.1698419757169365,0.16805974245606947,0.16776955075757577,0.1651454891866314,0.16231013524495466,0.15910544430528628,0.15527612138150604,0.1507546981265667,0.14841336073831032,0.14675881491688803,0.14360291515694681,0.13995226923774004,0.1362490302250176,0.13514574244356412,0.13527673457358494,0.13219701678990017,0.12869166775582358,0.12821134886536223,0.12825622261975694,0.1272963917939321,0.12431252729900774,0.12272816840250228,0.12209172923781623,0.12000422553749651,0.11745959833128188,0.11732835804760747,0.11718322769507575,0.11693040207706773,0.11525860566768407,0.11835972207785769,0.09393014884073854,0.09050882729560217,0.09273952072949541,0.10169260252550645,0.11020184609694118,0.12104818393222645,0.12274551773872118,0.12468527821285061,0.1271007032853129,0.13112810493872157,0.13150882129815142,0.13240904677761864,0.1331345674312575,0.13606636122164142,0.13914611960537146,0.1404402258202164,0.1405278319117636,0.1466494847700828,0.1505304101455258,0.15261718408277003,0.15145117998762325,0.15152604627292238,0.15156550247748402,0.15673902597575382,0.1624275823307374,0.16877956306517145,0.17002362666840556,0.16741749715568746,0.17242246106514691,0.17598171266522905,0.17303669418481452,0.17398720935283613,0.1756022910241723,0.17461521041118128,0.1761997252152361,0.17882026659868164,0.17793450981784745,0.17923953055886627,0.17900170697992224,0.16586935524988808,0.1489746706933531,0.12104528769294508,0.2758573674633391,0.15367194765541126,0.11960851955267114
stat_4,0.19242752685020817,0.1929295327047041,0.194072457884471,0.19527838648022286,0.1930375214985296,0.1936593990126429,0.19238921808940337,0.1917987003277914,0.18915466946998966,0.1853329201660533,0.18337989750095962,0.18306406503673875,0.18021259779952678,0.17711161434045009,0.17358847029157737,0.16940095083105314,0.16448644528761716,0.1619372372616712,0.1601349666604819,0.1566720139256758,0.15268263169665205,0.14863160235861594,0.1547283879474893,0.15485756658324565,0.15132837085806516,0.14738042949604616,0.1468355108178566,0.14688978749965018,0.14584711706995532,0.14249077209192104,0.14073459079361225,0.14009059860155107,0.1377073996580227,0.13472739631078792,0.1345718200312369,0.13430666066098249,0.13388077289119196,0.13181050383547024,0.13717846727047786,,,0.11652306148271616,0.12740279810445052,0.12149346776228326,0.13894449542324225,0.13940929249677256,0.1421828511451754,0.1453201725957459,0.15031989597154652,0.15096308843484496,0.15198611925161298,0.1526629558210152,0.15566647392153266,0.15902384712176493,0.1605417260292298,0.1606783251662809,0.16741397390431575,0.1717484882842826,0.16630262230331985,0.1651333400017231,0.16529719518234884,0.16540249466976786,0.171029372577188,0.17719408677495704,0.18414339585754783,0.18556810486719783,0.18273276029705116,0.18818197394727287,0.192061480880057,0.1888627331119931,0.18991179916906442,0.19167538438989018,0.19060478025928965,0.19234780886588265,0.19523454781910038,0.194284351260941,0.19572076721279047,0.19544670910902787,0.18103286022143764,0.16256734029156067,0.13139884549398137,0.3005592288371514,0.16520145126294103,0.1301097681685547
stat_5,0.16979275204296462,0.17022531060579105,0.17123832068861278,0.1723267406540009,0.1703805873797547,0.1709563532858693,0.16986342559925924,0.16934207156201378,0.16701659371048067,0.16366261388609368,0.16194634711245248,0.1616664945665659,0.1591343161817062,0.1564069009004938,0.1533258483836072,0.1496376715609608,0.14527670825699274,0.14301824362094942,0.14142319362289846,0.13838911666047926,0.13487090311776928,0.13130480203056205,0.1302716052266091,0.1304007927748833,0.12743359274254562,0.12404568742653047,0.12358274986485476,0.12362517552651736,0.1226900853874433,0.11979723096130902,0.11826171672635805,0.11763459643020452,0.1200563565130198,0.1175100099031896,0.1173889610811498,0.12781404343991537,0.1339195849413049,0.15965515114940648,0.17056771206021623,,,,0.15237161474345043,0.16312469712827968,0.1690315173548055,0.1663160402132448,0.14223642075083026,0.13845947556959393,0.1311983916228529,0.13156402037313777,0.12754128222766498,0.1282609530443506,0.13114857647852987,0.13416107027346108,0.1354071653843775,0.1354850984904984,0.14143332150287313,0.14519512044308486,0.14712521169666007,0.14597316373593508,0.14602533072439067,0.1460425248431992,0.1510320696946777,0.1565293544453401,0.16264388040474723,0.16382588114926055,0.16131666324340216,0.16613991430185535,0.1695725430042172,0.16673415598043062,0.16764033691129984,0.16919636293387377,0.16824934924986823,0.1697704562912225,0.17228372484684756,0.1714228429576322,0.1726728182879183,0.1724519034656107,0.15982150823045446,0.1435529305865575,0.11695685621984327,0.2660646954366126,0.1488942809019742,0.11536309640126723
stat_6,0.17625401019542222,0.17670731666646122,0.17775980278121048,0.17888496133862247,0.17685493841428815,0.17745038958176762,0.1763206179989568,0.17578187230857228,0.17336581409598262,0.16987566723508993,0.16809339585453162,0.1678030293389233,0.16517827766394672,0.16234699826617555,0.1591428336298946,0.15531573535321572,0.15079057051184042,0.14844847253489415,0.14679310048076646,0.14363967484809498,0.1399864022817929,0.13628483720075085,0.13521020350657548,0.13534308063370679,0.13226294598496557,0.1287578452496151,0.12829047831946946,0.12833528569798042,0.12738152065393243,0.12439563463564958,0.12282483915362695,0.12218719920241813,0.12011495883102605,0.11756869460014052,0.11745073734955584,0.11731613751158539,0.11709596593081942,0.11547702760114165,0.11862977292875507,0.08125955390125536,0.09088317530393979,0.08925671654963555,0.09779052641667127,0.10593944160750039,0.12133486763242725,0.1229953344979174,0.12487348351335545,0.12725578039213498,0.13126706055643766,0.13162499202955488,0.1325085519206831,0.1332349599291728,0.13616235406174262,0.13924804707300215,0.1405359427079014,0.14060999214238368,0.14673654509268916,0.15062081624647317,0.1526738887610324,0.15149936217520413,0.15156864610721987,0.15160097131549252,0.1567780175678442,0.16247101087645957,0.16882113788724123,0.17005819854698648,0.1674408737887034,0.1724499525108516,0.17601105475774614,0.1730596290872584,0.17400832495952015,0.17562243774850267,0.17462001909745212,0.17620032448438444,0.17881942814062887,0.17793299782321562,0.17924087378270953,0.17900099425524582,0.16587663674394296,0.14898358941217166,0.1210117579809792,0.2758134361503153,0.15376307489260668,0.11965042315113984
stat_7,0.16415636898767214,0.16457028142055077,0.16554792560416945,0.16660322317561052,0.16473062336235877,0.16528337046677363,0.16422623459760236,0.16371852800622733,0.1614713759711599,0.15823769057091253,0.15657654695036818,0.15630595806205136,0.15385531593617915,0.15122434379469055,0.14824600298072999,0.14467757919275345,0.14046265760797763,0.13827719736015867,0.13673510216078905,0.13380442704656909,0.1304044093680135,0.12695580127653844,0.12595889828478082,0.12608381070442598,0.1232128992396203,0.1199337724947047,0.11946758317235186,0.11950783578219659,0.11858677007369066,0.11577823316457211,0.11427745607515698,0.11365466066918281,0.11171056325763501,0.10936637853587293,0.10925398054161013,0.10912450508777004,0.10889202937288049,0.10737840851047734,0.11838008712726125,,0.11587185905344566,0.10894353422987252,0.10646996197444489,0.11019596262549003,0.12104751913635375,0.11463147122936533,0.11626150552969546,0.11842806668447882,0.12208046497949897,0.12235274562592384,0.12318811373583644,0.1239007183134873,0.12674038448787903,0.12968714986943353,0.1309051095382757,0.13099642824450713,0.13677665933153743,0.14043255988659878,0.14226109138465623,0.14113666355620735,0.14118051081039512,0.1411877950716014,0.14601162222754446,0.15133663510731288,0.15724652468739633,0.1583899426421272,0.15597446567753273,0.1606323438951848,0.16395449426286662,0.16121877535570048,0.1620874169271932,0.16359360824347566,0.16269409550662464,0.16416792107303776,0.16658855076792195,0.16574968920968097,0.16694720334072496,0.1667445381335458,0.1545432119536674,0.13881848120970622,0.11345070046021681,0.2576082276823335,0.14453774596971977,0.11158867259096852
stat_8,0.13994297174218562,0.1402757458922277,0.1410899597098246,0.14198373841500528,0.14041761759010052,0.14085026492554392,0.13992025211384762,0.13946140485865136,0.1375629625956263,0.13485014482547794,0.1334166810177326,0.1331868895186106,0.13110037735407226,0.12884763962484852,0.12629511656927495,0.12323931819980902,0.11966711271506185,0.117799722182231,0.11648931994337411,0.11399486067950523,0.11110963161169482,0.10814939319541328,0.1072843401373284,0.10738775753150581,0.10495169809471408,0.10217680652040693,0.10174251504040081,0.10177330885074509,0.1009288284693446,0.09850478236357733,0.09717871743251821,0.09661910477964686,0.09498112445599213,0.09304410949031203,0.0929560318218044,0.09283434502686987,0.09473833572510688,0.09347704618002804,0.09230716369124878,0.08088703364704707,0.0794490460036195,0.07744720408421055,0.07656283572563502,0.08299986663464566,0.09520579563781124,0.1000740124115292,0.10125251268060466,0.10071924393765484,0.1037146251266616,0.10381638298069054,0.10450146991886773,0.10510977989945437,0.10765292870496038,0.11028859845567313,0.11140272075425492,0.11151086100644278,0.11648305667075227,0.1196367861079545,0.12109342213914522,0.12015830470017393,0.12021827992188377,0.12022227759656998,0.12431200284201957,0.1288779241232398,0.13390938942240882,0.1349484928651207,0.1330166944843182,0.13692861042025242,0.1397737947788148,0.13752121508292756,0.13821048051047058,0.13951004535722297,0.1388708666035238,0.1401586313718231,0.14219656596426197,0.14145975544188663,0.1424117833064513,0.14230138957457908,0.1318148970297402,0.1184115070497248,0.09865722042747237,0.2215969124390448,0.12474058702901593,0.09502440750089218
stat_9,0.18368995978557412,0.18416607664905021,0.1852597738477107,0.1864208760518937,0.1842924677934494,0.18489809866090423,0.18369924312506775,0.1831359303681437,0.18061288406368492,0.17696923066791959,0.17510864032575377,0.17480660385949923,0.17207694496379553,0.16911582335807396,0.16576423553229638,0.16177254674490602,0.1570665675726861,0.1546300432686705,0.1529072515336845,0.14961007554485525,0.14580652368190372,0.14194228903866077,0.14076499404172618,0.14089640949598398,0.13768696855258317,0.13404983144681007,0.13354971696510579,0.13359731265713187,0.13261421850642166,0.1295260590795401,0.12789295557751956,0.13313489535786635,0.13764291498632147,0.14257822116498928,0.1424090802932542,0.15162071631154075,0.16259012530359968,0.17414673511847903,0.17085221822943394,,,,,,0.16926312832345325,0.17968653613732194,0.17098420863977248,0.16345394948415645,0.15899647978918613,0.1508997390027462,0.14443522686200483,0.13874932795637462,0.1417144539810127,0.14487307332354113,0.14622429995638161,0.14632589966826243,0.152637731778725,0.1566540700860162,0.15892229818380196,0.15775094984194443,0.15785936067063422,0.15792804366178886,0.1633111957532561,0.16922098197547922,0.17584582545328528,0.17717054874674198,0.17445903317122574,0.17967085508340946,0.1833776244082007,0.1803134417818864,0.1813109137880602,0.18299496875874693,0.18196660755544153,0.18362447199763846,0.1863686826213332,0.18545415072126267,0.18682073799985932,0.18656506042655566,0.17284317640266383,0.1552257306629866,0.12578970143633642,0.28719100769904643,0.1590592407224378,0.1244658329099572
stat_10,0.1467481421430572,0.1471033093067938,0.1479649326276248,0.14890779138043791,0.1472581145121015,0.14772920195820477,0.14676844461884722,0.14629705538330298,0.14430129891177645,0.1414429129351773,0.13994629107484544,0.13970489668701613,0.13751417141417963,0.13515594568116301,0.13248549564459305,0.1292855728054583,0.12553142812491203,0.1235737721990726,0.12219785642361873,0.11958226692944621,0.1165520499074574,0.11345539486466107,0.1125467997930392,0.11265736123820659,0.11010065598011773,0.11001698067318989,0.10957088565556897,0.10960560908493104,0.10871872941597382,0.10908826420297228,0.10764082404585858,0.11778526404480649,0.13783615054811135,0.14283683188936452,0.14266897948276389,0.14237081003932048,0.16269309892674017,0.17414673511847903,0.17085221822943394,,,,0.15241926200600314,0.1488697431135749,0.16926312832345325,0.17968653613732194,0.17108306744620072,0.15380319422224992,0.15927106022970305,0.15109315324277703,0.12768169343314725,0.11659585968799711,0.11934558772904662,0.11885323257422163,0.12002193377322048,0.12012048274854746,0.12221847918086795,0.1255156468103142,0.12707673205287875,0.1260827735852024,0.12613238945405525,0.12613150565545164,0.13042989809853436,0.1352127340073077,0.14049066315543796,0.14155230412553343,0.1394796835019841,0.14360542796879391,0.14658552950662884,0.14419220311100533,0.14493125028387743,0.146287439119234,0.14556652911595513,0.1469015323135727,0.14904325705410834,0.14827518087457853,0.14929839490151184,0.14916097867695724,0.13821018659036352,0.12415731214558615,0.10278429520621461,0.23168853532100647,0.13042606327946432,0.09971285836159506
