,pSA_1.000000000000,pSA_1.072267222000,pSA_1.149756995000,pSA_1.232846739000,pSA_1.321941148000,pSA_1.417474163000,pSA_1.519911083000,pSA_1.629750835000,pSA_1.747528400000,pSA_1.873817423000,pSA_2.000000000000,pSA_2.009233003000,pSA_2.154434690000,pSA_2.310129700000,pSA_2.477076356000,pSA_2.656087783000,pSA_2.848035868000,pSA_3.000000000000,pSA_3.053855509000,pSA_3.274549163000,pSA_3.511191734000,pSA_3.764935807000,pSA_4.000000000000,pSA_4.037017259000,pSA_4.328761281000,pSA_4.641588834000,pSA_4.977023564000,pSA_5.000000000000,pSA_5.336699231000,pSA_5.722367659000,pSA_6.135907273000,pSA_6.579332247000,pSA_7.054802311000,pSA_7.500000000000,pSA_7.564633276000,pSA_8.111308308000,pSA_8.697490026000,pSA_9.326033469000,pSA_10.000000000000,EAS_0.050000000000,EAS_0.060000000000,EAS_0.070000000000,EAS_0.080000000000,EAS_0.090000000000,EAS_0.100000000000,EAS_0.107226722000,EAS_0.114975700000,EAS_0.123284674000,EAS_0.132194115000,EAS_0.141747416000,EAS_0.151991108000,EAS_0.162975084000,EAS_0.174752840000,EAS_0.187381742000,EAS_0.200923300000,EAS_0.215443469000,EAS_0.231012970000,EAS_0.247707636000,EAS_0.265608778000,EAS_0.284803587000,EAS_0.305385551000,EAS_0.327454916000,EAS_0.351119173000,EAS_0.376493581000,EAS_0.403701726000,EAS_0.432876128000,EAS_0.464158883000,EAS_0.497702356000,EAS_0.533669923000,EAS_0.572236766000,EAS_0.613590727000,EAS_0.657933225000,EAS_0.705480231000,EAS_0.756463328000,EAS_0.811130831000,EAS_0.869749003000,EAS_0.932603347000,EAS_1.000000000000,PGA,PGV,CAV,AI,Ds575,Ds595
stat_1,0.23691887839841833,0.23677757770987987,0.23571756410803923,0.23199019385111735,0.22994608940586114,0.2293033615868781,0.22501953101751093,0.22196055228334038,0.22020237296856288,0.21804454126037678,0.21685756451432905,0.21676672480342996,0.2145780100292503,0.20913594909929806,0.20440550597173013,0.2012154843659888,0.1937244147253945,0.1885724503022239,0.18613787387643002,0.18074916793736154,0.17640446397010345,0.17302459492671526,0.17279118699173882,0.17293138193310498,0.17018820552813646,0.16589614494751456,0.16093341563080343,0.1606331015994918,0.15763581657333828,0.15549322318257328,0.15586835020564296,0.15477404345913115,0.1536126541390942,0.15152132205373947,0.15152281815772803,0.14904978095638943,0.1465374253308804,0.14385550708559047,0.1418921320698221,0.11447902168775262,0.10458788037573466,0.11716838492121423,0.1226603239223301,0.12309131730581419,0.1378238049899752,0.15188062266953045,0.156882303010769,0.1607237936047245,0.17109369265538166,0.17765060280185474,0.17740704269665716,0.17245128149551034,0.16848930097135567,0.17073816788593635,0.17318513817933773,0.17875283704267275,0.1849601944820231,0.1888431729672213,0.19663952131178483,0.2013789598890019,0.2043290057463935,0.2034496897423291,0.20898196413913797,0.21248220194529388,0.2178870299968335,0.2182769009902734,0.22016217994088033,0.23011666070005357,0.2343266927624636,0.22982367276147941,0.22662628105774812,0.22720799355405796,0.23537926211289703,0.2392734851294215,0.23824259576497991,0.24006389368437567,0.24452930675552548,0.2428812637954465,0.2191860668838756,0.19283936253767267,0.15752789163222536,0.36251100150039683,0.2050294055905888,0.16718989318797736
stat_2,0.16256677743708955,0.162441408753045,0.1617947532361753,0.15936865680700746,0.15810984375355897,0.1579634777848099,0.15528213058652515,0.15328156571071805,0.1521772179842131,0.15071565867140732,0.14986864292983487,0.1498019016368788,0.14826205893477756,0.14451260506220104,0.1412885853904029,0.13902957957736958,0.1336518159548132,0.12997917732905614,0.1282591866137986,0.12451786568086584,0.1215729264613502,0.11935569668120587,0.11944279160554322,0.11956033239980152,0.11753011049952262,0.1186562967344077,0.11508369456149378,0.11486687463854343,0.11265011935649927,0.1110959430621886,0.11135985091627831,0.11061461344516779,0.10993538078229986,0.10853107897003614,0.10853692495488292,0.10690463531996675,0.10538863238623486,0.10398467893876197,0.10285859007547285,0.08626382902650481,0.08349959822344741,0.08983921494084396,0.09510929057129613,0.0953869342563998,0.10201082461776692,0.11254008816149152,0.11463872194426035,0.11655645983621848,0.12344247963480594,0.12768653937361724,0.12699537503302324,0.1234483593903935,0.12108059413339241,0.1227198744387848,0.12411638861424819,0.12797601863044064,0.12828727181178695,0.13175868873741065,0.13718534584773992,0.1396681541578326,0.14107685351750848,0.14016866257040156,0.144251270057725,0.14691388852609097,0.1508622005009546,0.1507798232056245,0.15176858811228874,0.1587788876236165,0.16188547181395008,0.15876620781970993,0.15640924742401974,0.1566349504005489,0.16193295326136548,0.1641731112203258,0.16325627400410056,0.1644090794201658,0.1673861802610967,0.16632446814716065,0.15084084578724502,0.13288616843729836,0.1102535920119072,0.25056235093231155,0.14843087787937653,0.1170494036311866
stat_3,0.16863949506284712,0.16851439468092266,0.16783290900144254,0.16530618170245437,0.16400342876653703,0.16385001847123976,0.16105795770149442,0.15897491007516465,0.15781959973332602,0.15629543618155803,0.15541681272023197,0.15534800364973958,0.1537552103992895,0.14985742842848515,0.1465150243866078,0.14418250303973282,0.13860413531823884,0.1347990818857803,0.13301653646551184,0.1291406933227046,0.12609140727538473,0.12379107893415031,0.12387063560896283,0.1239930805939854,0.12189383599769675,0.11863026937972398,0.11505431917853762,0.11483757767670398,0.11262774353610742,0.11107268413844008,0.11134047910437456,0.11059950016952305,0.10992157754409093,0.10852600044608199,0.10852615911249973,0.10689441959194809,0.1053883161918624,0.10397501256207943,0.10704127456787567,0.09972095635931211,0.08670301042902552,0.09376107751191286,0.09912273277849493,0.0994005721112934,0.10597557394494,0.11252172414417297,0.11463041820794855,0.11653803564976856,0.12342419918399827,0.1276670923629263,0.12697685143003337,0.12342686696685157,0.12105131474248754,0.12269074509395086,0.12408292388597027,0.1279470439877219,0.13304222012834896,0.1365965537231484,0.14223523766480073,0.14485649918556234,0.14635199241844496,0.14541253261598716,0.1496292939420143,0.15237287505027958,0.15645079286636282,0.15636448461448932,0.1573952597187837,0.16467194163664564,0.16788676619454124,0.16466129207024843,0.1622336824368575,0.16246353025629187,0.16797358220795738,0.17031530967321556,0.16935160779501016,0.17054792099694494,0.17366514763304297,0.17255340365166918,0.1564263431982325,0.13780272973442498,0.1139596911242474,0.25948862056649996,0.15354822385394112,0.12135329735404554
stat_4,0.18410885990347184,0.18398064683607435,0.18321835078580173,0.18044158726972748,0.1790197803245827,0.1788344380373479,0.17575606639141086,0.1734698753733526,0.17219107448515134,0.17051729738308813,0.16956026294801463,0.16948592284000155,0.16775478114208783,0.16350651902836458,0.159852481258338,0.15731966344940132,0.1512560106798525,0.1471152205389501,0.1451739423362226,0.14095103274670165,0.13761782908326958,0.13510621472701345,0.14200544321078062,0.1421411538774626,0.13976673512136653,0.13608185236493328,0.13199661918288472,0.1317488572094583,0.1292352925515607,0.12746468453565352,0.12777297902986964,0.12689692759332957,0.12605758643578702,0.12438900333986476,0.12438277820622069,0.12245122515688188,0.12061664090087736,0.11881397824763444,0.12400612306771212,,,0.11691767537972783,0.12240567394410008,0.10918496978131007,0.1217425854239914,0.1275888088714699,0.1305847836270343,0.13310662443608776,0.14121426547105256,0.14629005296407552,0.14569605992339255,0.1416633765256305,0.13875342303874258,0.14060932964613315,0.1423148452614604,0.1467699512779608,0.15240880347916408,0.1562348118851381,0.15501407657644156,0.15800635242724279,0.1597462484249163,0.15875292246130268,0.163314026373672,0.16625947982656764,0.17067545330544157,0.17061827477424607,0.171754156200116,0.1796927659660382,0.18317835326900336,0.1796691605334486,0.17704857614819383,0.17730413291882502,0.18335501799537593,0.1859532664554812,0.1848804213323875,0.18618556313430148,0.18964172347537392,0.18840978799947644,0.170690446825575,0.15035797302789328,0.12351096171739474,0.28242229924827106,0.1662191309047852,0.13217639350532556
stat_5,0.16247926017386277,0.16235452466495093,0.16170678946523756,0.15928012645000808,0.1580211708243615,0.15787570804551265,0.1551945770161213,0.1531927798138586,0.1520894676351995,0.15062739946567216,0.1497802779610614,0.14971362948302372,0.14817544184663203,0.14442193202438913,0.14120203747484025,0.1389471809598783,0.1335680980468601,0.12989846555289808,0.12817975258209463,0.12444165971052688,0.12149968461807505,0.11928074748977896,0.11937263034426111,0.11949069623614726,0.11746385875619199,0.1143092166600131,0.11086285872020551,0.1106537721581086,0.10852233900373273,0.10701435644136993,0.10727487293199955,0.106569443415608,0.10997220121781706,0.10857601573487802,0.10858640981516583,0.11654994931543142,0.12065051064942495,0.1437986681032269,0.1541877264479609,,,,0.14383477905903555,0.14428242175856804,0.14848568307373675,0.1518197872496768,0.1306374441637705,0.12687732279218256,0.12350136330040613,0.12772944736186317,0.12232239917213722,0.11888095647705446,0.11663488986863844,0.11823078653984753,0.11955477382363809,0.12327430913524769,0.12821835432728806,0.1316854608853827,0.1371057290580723,0.1395901116500778,0.1409986619570485,0.14008902292723305,0.14416715155063856,0.14683010610814215,0.1507730734131248,0.15068645309883277,0.15168000679338067,0.15868697737692256,0.16179170203565865,0.15867586595441283,0.15632088709903103,0.1565466522099074,0.16184403486066654,0.16408542304941148,0.16317141181211917,0.16432534591365822,0.16730215666926637,0.16623983992756095,0.15074848965836343,0.13280297886505982,0.11019382875182361,0.25041182740492396,0.14836676181670508,0.11698944149565202
stat_6,0.16864035131290495,0.1685155282211983,0.16783397128570474,0.1653085827288431,0.16401033494453104,0.1638651480442449,0.16108434385497397,0.15900251016066036,0.15785116143636915,0.1563261193355504,0.15544556565139686,0.15537671065553685,0.15378469989471624,0.14988824425442204,0.14654453664158953,0.14421340583525816,0.1386285705259812,0.1348204979051326,0.13303676066068293,0.12916159082858497,0.12611249378158576,0.12381523929162548,0.1239213153253389,0.12404505164535481,0.12194377927180566,0.11868034980144429,0.11511410839413218,0.11489723007511353,0.11269307646431458,0.11113912673093204,0.111422857309984,0.1106859453799315,0.11002814516852288,0.10863255884066343,0.10864619976726907,0.10702095420969868,0.10554608699913397,0.10418818733826099,0.10730318831027481,0.08335691747554683,0.08708350919939319,0.09033993265667993,0.09550298921793494,0.09570687626221513,0.10625425400396919,0.11277818594252485,0.11482411208956038,0.11669274222531344,0.12357187001148481,0.12779379641068211,0.127074926873474,0.1235150366387305,0.12113136094433119,0.12277114861670663,0.12415215655174962,0.1280043622414363,0.13310552998341835,0.1366686716304833,0.14228704196526248,0.144899565732796,0.14638863578244415,0.14544153974627144,0.14966245288518507,0.15240973600055915,0.1564892362700271,0.1563966655254712,0.15741706487180848,0.1646985707446084,0.16791890541044988,0.16469406511927015,0.16226195062140605,0.16248664463090226,0.16798472600330985,0.17031777615164204,0.16934562214629156,0.17053950018573485,0.17366074340823934,0.17254860656760668,0.15642425533822762,0.13780481730993754,0.11392531012705152,0.25943656720114733,0.15362227795589842,0.12138897816609874
stat_7,0.1571102677240497,0.1569850862136586,0.15636768084424255,0.15402702453760386,0.1527995396401824,0.15264615189113975,0.15005515385391602,0.14812255817239398,0.14706004516143723,0.14565436603287532,0.14483565008965446,0.14477091051548746,0.14327925019637597,0.13965787217580114,0.13654264664105228,0.13435278886407695,0.1291575404668517,0.12560992897581835,0.12394830125395373,0.12032939258510825,0.11747886998752122,0.11532662748441819,0.11540610984904817,0.115518726627728,0.11355637018372144,0.11050085670189826,0.10715517807873472,0.1069528670682966,0.104883188902386,0.10341553726230374,0.10365811552476771,0.10297387703544987,0.10236577617426477,0.10109274224279656,0.10110406776522625,0.09959051605010477,0.09818847617423532,0.09691746856134961,0.1070609813562583,,0.11120604812218234,0.1096106177509422,0.10352631151790673,0.09938712948970795,0.10597630043139475,0.10517214845064822,0.10695721869111063,0.1086532582647392,0.11500906996737895,0.11887174186497736,0.11815752280393924,0.11482043407013631,0.11269368072140655,0.11425346594465786,0.11553568170239281,0.11914629230926388,0.12394413654607775,0.12732197379288232,0.132563029463454,0.134942874074839,0.13628670391015768,0.13541558972120898,0.139367978258634,0.14195665265276805,0.14578033125348133,0.1457088216154213,0.14667800119209726,0.153441474185239,0.15644452075682144,0.153421727390582,0.15113433489434472,0.15136580607453823,0.15648492880901985,0.1586526318270285,0.15779423608061957,0.15891440794061953,0.16176165958367705,0.160743670396832,0.14580855662970837,0.12844788955396302,0.10697099994016392,0.24259345741715083,0.14370468866609482,0.11312352503997157
stat_8,0.13410147195274047,0.13397327801143977,0.13348413961669975,0.1314996522233646,0.13037379611986125,0.13014220565675075,0.12790644116643304,0.12626142684379305,0.12537590022745232,0.12421753732934193,0.12352636143426181,0.12347008055922523,0.1221817475770176,0.1191108646251479,0.11644363267849808,0.11453749849485967,0.11016536189357562,0.1071608026581042,0.10575097597786136,0.1026470280369599,0.10017758296979201,0.09828741699638743,0.0982926563300901,0.09838194815229134,0.09672719300176094,0.09412431404700002,0.09125121774539012,0.09107797209504036,0.08928467294471486,0.08799181749144665,0.08816971312519507,0.08759970292271868,0.08712729978248812,0.08610006101883713,0.08612143615966353,0.08485396609782554,0.08553956949848662,0.08448050771473864,0.08363369120671928,0.08289007234017899,0.07608283381943347,0.0785507233255459,0.07526603987855379,0.07541057280416803,0.08339840851984576,0.09197217421498122,0.09329156186482195,0.09254949798629629,0.09786398927868126,0.10100290994601505,0.10027767310561712,0.09734073082695242,0.09570399094154149,0.09711351135507602,0.0982454686019175,0.10136219804586538,0.10546044431602718,0.10836513699376146,0.11280106818342907,0.11480836672354677,0.11593362458927414,0.11527130650209194,0.11865532346355927,0.12090746379230385,0.12419354254389589,0.12424055099751402,0.12518261819927495,0.1308625420048075,0.1334005217737545,0.13076973152292368,0.1287714920389465,0.1290634520514908,0.13345590225922682,0.13535988399569113,0.13480367917460107,0.13579990323669136,0.13806584391657947,0.1372384497057396,0.12459775283756402,0.10971731095360643,0.09340942109530995,0.20938714822292703,0.12293505642601286,0.09623217510182287
stat_9,0.17575303726211203,0.17562704446875083,0.17490732082474933,0.1722648399358864,0.17090874723882699,0.17074273082383196,0.16782025663334346,0.1656428359017318,0.16443011796146378,0.16283572105123814,0.16192012986291826,0.16184881018135908,0.16019229657740305,0.15612869889201464,0.1526420715074992,0.1502202962550728,0.14441432418847383,0.14045472898803582,0.1385989960172809,0.13456402616617982,0.13138856506280022,0.12899088950213614,0.12906273557165285,0.1291892338928223,0.12700797163561556,0.12362065915358018,0.11989766997250709,0.11967206250760483,0.11737626438160388,0.11576493638012453,0.11604706359253911,0.12059429386073194,0.125994986077038,0.13159327862862927,0.13158201861904673,0.13821087986061678,0.14651772786179407,0.15680575371073807,0.15445877632494948,,,,,,0.14870942386357744,0.16379440618569446,0.15684230912652317,0.14957282031767283,0.14921390969601445,0.1462230671172924,0.13847640726938729,0.12866573757832703,0.1261374691642382,0.1278321529966452,0.12930500235764222,0.13333650654128462,0.13859889173682366,0.14224535484481596,0.14812376102786595,0.15091285229521803,0.15251515634252494,0.1515471948078424,0.15592202033671287,0.15875979059493908,0.16299124110922436,0.16291467912746324,0.1639941493011648,0.17157854864058597,0.17491953868690865,0.1715655121642564,0.16905068018632388,0.1692898854741662,0.17504782265896884,0.1775076104267017,0.17649159983043175,0.17773809720082637,0.1810139415545354,0.1798459123785621,0.16298088510725914,0.1435725010889789,0.11833387925380058,0.2700037973457326,0.1594369613913102,0.12635412024419673
stat_10,0.1405621149703242,0.14043440335283025,0.13991062552412192,0.1378294464814544,0.1366792364612692,0.13647677522965074,0.13414719607606965,0.1324235531896794,0.13149067203582065,0.1302633727916119,0.12953578561772797,0.1294770419160597,0.1281306408824502,0.12490397284151455,0.12211071512579251,0.12012305082847952,0.11551600327506131,0.11235606022298596,0.11087456340308202,0.10762487736449586,0.10504936339744919,0.10308714841509654,0.1031063207508096,0.10320264212900945,0.10146094445449085,0.10134019026922546,0.09826145544910796,0.09807533050780298,0.09615523208560564,0.0974321392480435,0.09764087675718107,0.10671168998102394,0.1261806918530822,0.13184285586710864,0.13183351661684817,0.12980065204243946,0.14661642021950871,0.15680575371073807,0.15445877632494948,,,,0.1438641032432834,0.13246287816214636,0.14870942386357744,0.16379440618569446,0.15694039848261848,0.1408325245026418,0.149488397813216,0.14642441648972387,0.12246011715597348,0.1080174855497637,0.10610465479228667,0.10466881062928518,0.10586711537326332,0.10919728087598557,0.11066620432867931,0.11371170182367446,0.11838463405386102,0.12048858285688792,0.12166662674206757,0.12094199834104094,0.12449057138832198,0.12684135963654394,0.13028294278793676,0.13029235320661367,0.13123703446327534,0.13722532538665652,0.1398980011647167,0.13715615686685598,0.13507297977804553,0.13534470947109983,0.13993383125316622,0.14190121563619723,0.14125168616355324,0.14227874957427933,0.14470940043508493,0.14382942443884678,0.13056143087127867,0.11498825305578084,0.09718814676157783,0.2186838789002702,0.12884685056926684,0.10100462019518539
