,pSA_1.000000000000,pSA_1.072267222000,pSA_1.149756995000,pSA_1.232846739000,pSA_1.321941148000,pSA_1.417474163000,pSA_1.519911083000,pSA_1.629750835000,pSA_1.747528400000,pSA_1.873817423000,pSA_2.000000000000,pSA_2.009233003000,pSA_2.154434690000,pSA_2.310129700000,pSA_2.477076356000,pSA_2.656087783000,pSA_2.848035868000,pSA_3.000000000000,pSA_3.053855509000,pSA_3.274549163000,pSA_3.511191734000,pSA_3.764935807000,pSA_4.000000000000,pSA_4.037017259000,pSA_4.328761281000,pSA_4.641588834000,pSA_4.977023564000,pSA_5.000000000000,pSA_5.336699231000,pSA_5.722367659000,pSA_6.135907273000,pSA_6.579332247000,pSA_7.054802311000,pSA_7.500000000000,pSA_7.564633276000,pSA_8.111308308000,pSA_8.697490026000,pSA_9.326033469000,pSA_10.000000000000,EAS_0.050000000000,EAS_0.060000000000,EAS_0.070000000000,EAS_0.080000000000,EAS_0.090000000000,EAS_0.100000000000,EAS_0.107226722000,EAS_0.114975700000,EAS_0.123284674000,EAS_0.132194115000,EAS_0.141747416000,EAS_0.151991108000,EAS_0.162975084000,EAS_0.174752840000,EAS_0.187381742000,EAS_0.200923300000,EAS_0.215443469000,EAS_0.231012970000,EAS_0.247707636000,EAS_0.265608778000,EAS_0.284803587000,EAS_0.305385551000,EAS_0.327454916000,EAS_0.351119173000,EAS_0.376493581000,EAS_0.403701726000,EAS_0.432876128000,EAS_0.464158883000,EAS_0.497702356000,EAS_0.533669923000,EAS_0.572236766000,EAS_0.613590727000,EAS_0.657933225000,EAS_0.705480231000,EAS_0.756463328000,EAS_0.811130831000,EAS_0.869749003000,EAS_0.932603347000,EAS_1.000000000000,PGA,PGV,CAV,AI,Ds575,Ds595
event_1,0.08544145661812884,0.08616441459280856,0.08570296031711394,0.08468536758038134,0.08407695308609829,0.0836321580770918,0.0824751759555447,0.08119966663937371,0.0814909798536228,0.0808392661172751,0.07911079825832594,0.079009517222679,0.07790148552071877,0.07599695863147438,0.07391270961881978,0.07238503940152968,0.07091916592722297,0.06968678202645714,0.06900917995660173,0.06804138718125263,0.06686113326321344,0.06566390639887576,0.0643805663893199,0.06432256667506993,0.06304427983891281,0.060721981528792865,0.05835165252508047,0.058243406078396245,0.0571009348401285,0.05586743048452313,0.05472799867562367,0.05449945006035698,0.05437157896085502,0.054332496908594805,0.054300392109436456,0.05421398073002456,0.05282649933467772,0.05125241805711557,0.050327874005657795,0.048251909062386,0.04490238956305558,0.043589812891448386,0.044284130901253584,0.04462799438030081,0.04989109096407224,0.054191237502671304,0.054631808350822576,0.056194472915307755,0.05942720448603899,0.05986883810180401,0.05868965601117947,0.057488780328113526,0.058326557037859224,0.05915992897862064,0.06033060669139578,0.06372302158166405,0.06761923748924926,0.06865138075362691,0.07115959215172736,0.07415536102834434,0.0738963888141487,0.07293114727491333,0.07407421822494761,0.07568735496847333,0.07805243850143025,0.07920999090069267,0.08094949421082162,0.08385900887026705,0.08505850289012866,0.0828592189391095,0.08125225473712197,0.08447364631457012,0.08639294587974207,0.08589592052322295,0.08569376466805405,0.08674127160630547,0.08832699012594776,0.0871237300657054,0.08152207490922989,0.07165288785574643,0.06865400464627254,0.144474155490928,0.06847910845620812,0.05407406110404393
event_2,0.09738158432530465,0.09827994186746372,0.09766981943623877,0.09656387035501883,0.0961246873437113,0.09670467240003763,0.09576428416487649,0.09426283333456832,0.09489735618936332,0.09410284858255534,0.09199181252000573,0.09186290382171194,0.09000230686674587,0.08799102011581264,0.0858074772780597,0.08373516335718605,0.08155303940737155,0.08006797390844965,0.07927462277737153,0.07837778931303943,0.07710883337535392,0.07580663163619553,0.0745099655205465,0.07447009141481893,0.07345834670194094,0.070521133365405,0.0688455832644057,0.06872063158343537,0.06744901383120624,0.06643371548442273,0.06492767773550995,0.0656880789006563,0.06637663991698235,0.06632045274714635,0.06626939479066059,0.06730685204370228,0.06817278601871771,0.07093302774872103,0.07586564342382159,0.11872805708835812,0.09795550650767122,0.08324014343759481,0.07450520255870664,0.07217333768815447,0.07764906944054938,0.07753995193442358,0.07217564574157205,0.07113480691763492,0.07360106947895169,0.07376549937958087,0.07114354593789665,0.0686132254719463,0.06994705903463871,0.07032112619735029,0.07142703956633416,0.07420547234931557,0.0792463690572877,0.08007541215040367,0.08299221638822986,0.08640364087760079,0.08572260093618489,0.08418944329591074,0.08537729511489504,0.08759657949076807,0.09057842636466415,0.09147763829194967,0.09315233361270318,0.09731786356615177,0.09884515943727795,0.09606504847737753,0.09391885638523516,0.09778526347989466,0.09948509404504322,0.09757318979082029,0.09687382638440994,0.09807157186550379,0.10003672895982836,0.09861785149236664,0.09202729459908668,0.08098242712003217,0.0741405724295847,0.1590031261107805,0.08039594129480955,0.06257094766818623
event_3,0.10030876563579301,0.10124848702513681,0.10060400699261446,0.099476305102396,0.09907329095742758,0.09901477714259861,0.09974779690417261,0.09817973402923476,0.09808560488043978,0.09725993817562328,0.09505895868139944,0.0949236780324761,0.0929695864154747,0.09172646779411878,0.08950572374177469,0.08736305236872303,0.08506153230708936,0.08349414986863393,0.08266221604706141,0.08177980530684431,0.08047925969937011,0.07913219171838784,0.07853827589305294,0.07850100661105572,0.07678273411335204,0.07433201168828218,0.07137826722679623,0.07124890250196222,0.06993639352268836,0.068948396585472,0.06799768816625246,0.06758234554167267,0.06912737630516735,0.06906678204638289,0.06901258291543477,0.06805208813088995,0.069868402064421,0.06998305983746027,0.07117114176056169,0.0979949150561948,0.08357593677964222,0.07583057327617894,0.0683271443827729,0.06812525894586158,0.07256334906744957,0.0764208915601871,0.07408992875402336,0.07197342975947846,0.07681029446599423,0.0769118020989754,0.07322257472110508,0.07190632950981063,0.0726671164885779,0.07296976679562224,0.0740814711039958,0.07825765080177174,0.08293250201707449,0.08458397406775019,0.08683736788606475,0.09039394383695651,0.08958518568944208,0.08788194029585854,0.08909345226832674,0.0913988331311935,0.09447117139684545,0.0953052550565741,0.09615277163746883,0.10052547552743324,0.10212966678153211,0.0992145630469874,0.09772760166801343,0.10178440628953837,0.10180527267971588,0.10044292481428564,0.09963115524114498,0.10086547420353109,0.10292086040712362,0.1014490596805926,0.09616264742094545,0.08465357202372495,0.07637637220323526,0.16483839887906038,0.08488916915061069,0.06581968098180312
event_4,0.10742476375408659,0.10846439549250456,0.10773782314534443,0.10655907666665512,0.10624278281142949,0.10635161851059567,0.10554376675389716,0.10387978516974103,0.10378047778439389,0.10290105169932055,0.1005436323867794,0.10039704885244367,0.09827700611893733,0.09618278862139437,0.09392001523349032,0.0917021292467413,0.0892558630848641,0.08758468470000967,0.08670468992661388,0.08584527621959297,0.08449409693185424,0.08309990285661413,0.08267391091580868,0.08264697430106042,0.08082020892390782,0.07914197273379257,0.07597449611777492,0.07583684807172764,0.07531672696022733,0.0734699643296634,0.07173376189844236,0.07291728389577944,0.07339324886786097,0.07536254074325048,0.07530170471811481,0.0803155550239325,0.0873133461131111,0.09427847372938564,0.10323978672499097,,0.15238248863621484,0.14776410194525832,0.129548140560592,0.1159397478255836,0.10706892247390594,0.1045891052490852,0.09352208203426635,0.08566768816279177,0.08410992272857948,0.08177079983491173,0.07905922620519192,0.07589077118348765,0.077534843100643,0.07866602809593871,0.07888141789898616,0.08335424257049676,0.08739449489388504,0.08920442691095178,0.09141218735127331,0.09513454109503468,0.09418908905296018,0.09227857984654982,0.09353012524216449,0.09594447180868092,0.09911635022582524,0.09987358799487478,0.1015236509957904,0.10626249997391161,0.10799948205253797,0.10484421282648769,0.10327394389703097,0.10760675723060881,0.10917454273411994,0.10742137460214393,0.1063409901954935,0.1076644249358938,0.10993860921941842,0.1083353581223144,0.10316697603255738,0.09087398166826868,0.08022567336583886,0.17481437263796243,0.0923678438292836,0.07124014676323309
event_5,0.09487305427576012,0.09573586303381354,0.09515582544821534,0.09407017012749616,0.09360016968774525,0.0934130863412749,0.09242597953184338,0.09098034051248007,0.09089579560797052,0.09014401962185664,0.08814568423507298,0.08802480957514514,0.08628435808816826,0.08608001640260363,0.08391689749194958,0.08188211470324108,0.07975939784329887,0.07831567678364933,0.07754133822413636,0.07663756639555312,0.0753843395202127,0.07465444157648526,0.07337375761366109,0.07333392894718925,0.0717789060786278,0.06894346155566747,0.0662321787257401,0.066111519397754,0.06488299028179738,0.06338279748915335,0.061995794030370296,0.0621079674041953,0.06265601670853814,0.06259014696566238,0.06254480306099797,0.0620972658087347,0.061237695372383924,0.060631930038214,0.06038756830850225,0.07100233014190876,0.060474916830150084,0.05346538348991647,0.053159165873423064,0.05423020941755607,0.060839669741111206,0.0653726658858558,0.06426421969039492,0.06520134862551148,0.06919799277066514,0.06947476542106511,0.06718185607679167,0.0654395000056274,0.0666129254767087,0.06756530335770741,0.068671724168454,0.07251920009438129,0.07737312583851214,0.07879711330356935,0.08165259196986739,0.08434985026209807,0.08373546750667063,0.08229009887098382,0.08347070115442881,0.08565189723346418,0.08858631716334239,0.08952078305285122,0.08939667516879582,0.09329510203833616,0.09472683327511763,0.09211546379346654,0.09072911742124344,0.09443652305396064,0.09618082308142663,0.09511365873181407,0.09451103855977475,0.09567751266848168,0.097566095927683,0.0961899574081637,0.09082350244807191,0.07991635843879208,0.07349095164268518,0.1573107761449421,0.07906702790220994,0.06160729345850857
event_6,0.0906736962896064,0.09147516775446267,0.09094685033517745,0.08989195043288087,0.08936345230776709,0.0895618189896002,0.088512466951934,0.0871349377921559,0.08705677128338585,0.08634516737285483,0.08494382491696026,0.08482979835845161,0.08319070096812306,0.08124393826508074,0.0795771786241324,0.07761835704125233,0.07564029631883978,0.07429406229192236,0.07356486765312963,0.07263599933143505,0.07141828964410993,0.07017015084866228,0.06888536833712573,0.06883737857125631,0.06783521621702036,0.06522345561489384,0.06266059794279763,0.06254558404447486,0.06135200721739268,0.059964129458272994,0.05868184811042045,0.05911782242156097,0.05871990989692181,0.05866488325821535,0.05862683611939978,0.05968780788066327,0.06057355028109853,0.05997907191075825,0.061366496098708756,0.09818719720930841,0.08655665413500119,0.06327753700475477,0.06358573191537059,0.06270050335660188,0.06198549128287657,0.06465516581334815,0.06355974736477818,0.062486343634785405,0.0645845933218947,0.06492837233214645,0.06385086985979443,0.061818937347283706,0.06285783645853837,0.06376210319216018,0.0648959324071303,0.06854355855309412,0.07298100470166562,0.07374908397005565,0.07643797604472781,0.07962337402988469,0.07916709761777391,0.07793592113496944,0.07909599354364204,0.08117908654188177,0.08401638130350221,0.08457200717309868,0.08627597477363165,0.08994952109204768,0.09077794434478496,0.08833280666536333,0.08699888697209232,0.0905149134189817,0.09232260374461618,0.09100542640449344,0.0905756524784476,0.09168930271036003,0.09344483046019585,0.09214513035190007,0.08668639786434065,0.07624197749423503,0.07131031618949787,0.15155704173432022,0.07442540444633,0.05828949085365589
event_7,0.08690334652662005,0.08764858340253935,0.08716820364443617,0.08614098219788006,0.0855562057301361,0.08515520910005006,0.08402875058410415,0.08272665009319069,0.08265429940699859,0.08199078598102724,0.0802282894405332,0.08012451606438203,0.07863734333611302,0.07672661983081962,0.07463787406973262,0.072769278441253,0.07129813259033793,0.07005645939324087,0.069374607988668,0.0684100322323712,0.06722612703817651,0.06601953043132339,0.06507864593558071,0.06502089749728439,0.06372209562444286,0.06136186511422054,0.05897217088783262,0.058862947063398514,0.057714207782036134,0.056448297291082764,0.05528894649553749,0.05505302925445025,0.05468290496062578,0.05464267936779869,0.05460960238762693,0.05454674938954642,0.05315204749889567,0.051845581358543474,0.050932515626981215,0.04826096573468663,0.04451729370846858,0.0433212204135043,0.04431939377416625,0.045230470011133804,0.0505538328984309,0.054907629632327364,0.05500144624796123,0.05656935670225764,0.05978899087361137,0.06022774993112086,0.059307012246116675,0.05810186833824936,0.0589670378184226,0.059822041728370925,0.060987306533462494,0.0644065854296364,0.06837582514110663,0.06943817840251568,0.07157474954228844,0.07459093828187967,0.07431660157380955,0.07332982765444528,0.07447519655782624,0.07608964833376691,0.07881489931957562,0.07995514767154055,0.08168964070598031,0.08502461985963218,0.0862538635842745,0.08400185315730752,0.08272906300504942,0.08602729971478362,0.08791399644494963,0.0873219184183179,0.08705406398998056,0.08812004051717495,0.08975414961373215,0.08852296361704798,0.08296815255268225,0.07293897728939842,0.06938989525542506,0.14644741327744826,0.07015045522714423,0.05525651779240855
event_8,0.09321504558905411,0.09405361611576747,0.0934939497577633,0.09242004085341152,0.09192677490957211,0.09169635843687532,0.09068130925698913,0.08983601958182359,0.089753691480723,0.08901355433470756,0.08704688270233504,0.08692837670496117,0.0852220609518255,0.08325831013305901,0.0811187762337986,0.07913457888870823,0.07761400518719193,0.0762217848495937,0.07547130707606173,0.07455488228163466,0.07331930772973265,0.0725444327081818,0.07126691280494796,0.07122382179250597,0.06973574984465028,0.06702136922703308,0.06478783502110758,0.06466940643154999,0.06345272618442625,0.06240903188653767,0.06103869675232687,0.0607180463423125,0.06031561728045246,0.060270220932051984,0.060652104010535265,0.060170319326899376,0.05880879068951686,0.0580979238743249,0.05866689071099067,0.06590988177307408,0.06033730062587374,0.05451684188250713,0.05545379909852544,0.05533037471830701,0.05901913108008104,0.06238070301172062,0.061510276970391,0.06302680189596507,0.06697724414114459,0.06677557040846403,0.06563093297969215,0.064389027824616,0.06554410537446755,0.06602450344635873,0.06714318352778394,0.07046607986534684,0.07509702616232929,0.07642793172977683,0.07919972108247297,0.08188825390933634,0.08135821556951751,0.08002447856182344,0.08119306627841529,0.08277014371405185,0.08564022697655675,0.08663299984431376,0.0883254169505136,0.09214742258882555,0.09355202015281776,0.09099057504832517,0.08961958309902884,0.09268828964059087,0.09446122293927557,0.09349164073162532,0.09295730801234116,0.09410305055125802,0.09593897896339995,0.09459337448944839,0.08918909879540408,0.0784643566027976,0.07262759463923944,0.15503488732208265,0.07723133448852597,0.06029878010495618
event_9,0.09375223994593693,0.09459882633299072,0.09403252359671523,0.09351858432318678,0.09304109625255987,0.09284120046699544,0.09184499578047316,0.0904111175859805,0.09032789992033378,0.08958252238222134,0.08760078830796177,0.08748107485947279,0.08575789434080992,0.08378816687443813,0.08164489242862098,0.07965079133003208,0.0776042443207834,0.07621140572026651,0.0754604678533962,0.07454391043086062,0.07330925968022176,0.07203885707673155,0.07076204743054643,0.07121346056488423,0.07019910274171341,0.06745737097874357,0.06480586468814602,0.06468737644958945,0.06346782007147128,0.0620089778598024,0.06105443891257791,0.06073559584162234,0.060757201679719486,0.060702156375838784,0.060661172367548324,0.06021621229729446,0.06020004925624582,0.0600436061412377,0.060269286164483946,0.06907820176290443,0.06615862473705936,0.05756026191257729,0.05685354793001005,0.05659974177744234,0.06076738061278765,0.06470719996483133,0.06309492254282519,0.06306513667529767,0.06698496163609688,0.06728285014898776,0.06564722435670228,0.0644029675987991,0.06510046686692098,0.06603765233598198,0.06716010078767112,0.07092759155136215,0.07561264448566872,0.07641659205927485,0.07861157936991216,0.08187650393162725,0.0813444707746638,0.08001051511397159,0.08118081936500735,0.08331064885686902,0.08619314326574358,0.08717492760285077,0.08886575083752993,0.09272548886777812,0.09414302625361491,0.09155591119828652,0.09017688344176747,0.09385447388646065,0.09560766001437512,0.09457063601079821,0.09399043676083339,0.09461132911429154,0.09646489750085221,0.09510854037763981,0.08972157332021492,0.07893829642505179,0.07290687643019,0.15577508760627257,0.07782702054488913,0.060721589847478996
event_10,0.09678601492758683,0.0976736915642054,0.09706920719978614,0.09595003302762196,0.09549153036921831,0.09533529124542288,0.09436405761153498,0.09288038408356554,0.09278848346781308,0.09199795655504421,0.08994545967760369,0.08982110561458413,0.08870153362174758,0.08670841015760343,0.08523709824274735,0.0838805114084213,0.08169712831094311,0.08021588453669307,0.07942621827422676,0.07922762325811393,0.07864292399741932,0.07800127172641005,0.07742409306060226,0.07816643214808479,0.07724125938372318,0.07488486360417047,0.07512892628722526,0.07499487909724876,0.0736361170997959,0.07265255043687728,0.07097485905368514,0.07225811941941557,0.07261549981019388,0.07349740334626542,0.07344093177351976,0.07323678573972907,0.07503806975362615,0.07696697577003056,0.0772013865707529,0.12035615284885695,0.09888161990764324,0.08183855030338956,0.079505335572507,0.0744476254438609,0.07872553077115181,0.08409048215055763,0.07961528947280871,0.07761309969945838,0.08184347246849821,0.08087970148215254,0.07843006354211036,0.07520622098122344,0.07672163553803385,0.07696642471131068,0.0780898876488074,0.0789175676060788,0.08346912607335653,0.08420167397358379,0.08553431451385447,0.08823305543835024,0.0867321187763962,0.08441471370664186,0.08557790218102568,0.08777068910462503,0.08999882240932938,0.09016230735526035,0.09183568489150333,0.09518939777514529,0.09666229001516934,0.09398586320476408,0.0925815119254277,0.09637762748683214,0.09812371969309383,0.0970010916834284,0.09633878362360292,0.09753064796815146,0.09946628861781447,0.09807971211318803,0.09263286958968944,0.08150014534677859,0.07444214020021124,0.1597780574676576,0.08118850245642825,0.06319581405251348
