,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_1.000000000000,0.8968354538388318,0.1221935886625895,0.5458746383599385,0.7297627063218973,0.5593610519214968,1.069307025484064
pSA_1.072267222000,0.8203178814817339,0.12342602156645799,0.5527093669765947,0.7322247637276953,0.5651689992804168,1.0775234320920242
pSA_1.149756995000,0.7659023256904129,0.12329198005977944,0.5518057372379482,0.7330984000874656,0.5602796924028158,1.0750982139221101
pSA_1.232846739000,0.7052113364162413,0.1237661421370572,0.5599775840120346,0.7141961215977359,0.5548550066240274,1.0637269729949281
pSA_1.321941148000,0.6370784593577375,0.1234209259497557,0.5640765320518684,0.6896073978473799,0.5568383944739952,1.0506234790532114
pSA_1.417474163000,0.577814380901771,0.12446800025157165,0.5780320392095506,0.6575741049140634,0.5610189219469432,1.039839878341273
pSA_1.519911083000,0.5373570040216704,0.1243795036685009,0.5853944848091732,0.6224011134268862,0.5618804869744608,1.0226336247565313
pSA_1.629750835000,0.4946266931037588,0.12363066358899968,0.5831649502345355,0.6135342832009409,0.5527323017803056,1.0109493920450694
pSA_1.747528400000,0.460706972315494,0.12462727605940155,0.5894486528729498,0.611822984603642,0.5516767236303655,1.0129779297983634
pSA_1.873817423000,0.4191244161499759,0.12692174785519025,0.604530605343921,0.605507248570429,0.5443373025043439,1.0141002809222195
pSA_2.000000000000,0.3724833705663267,0.124931866448977,0.5949377748964143,0.5971860779765994,0.5310264282772316,0.9962786935675395
pSA_2.009233003000,0.3695994832279696,0.1247554393737931,0.5939365689334732,0.5971466763648016,0.5301249566324229,0.9951770046853593
pSA_2.154434690000,0.3269080101283707,0.1226969169163705,0.582329715450578,0.5966750992012902,0.5165124189393283,0.9807722214776359
pSA_2.310129700000,0.2889947158009608,0.12041317872346169,0.5742458228474163,0.5719173087585607,0.5087183582184086,0.9568918648958065
pSA_2.477076356000,0.2543284411831373,0.11736742067646327,0.5624341936147909,0.5431143146615709,0.5011344536067265,0.9286770814062012
pSA_2.656087783000,0.22763428900762733,0.11209351382383768,0.5357117163031719,0.5243469607071068,0.4887949441776535,0.8949007071406894
pSA_2.848035868000,0.20871435463137117,0.10855459150103192,0.5167330706285473,0.517586726702083,0.47409791274937396,0.8715950417554572
pSA_3.000000000000,0.19173463344325542,0.10489099157121985,0.4958395305357676,0.5155732841892048,0.4642796460534147,0.8527767827228043
pSA_3.053855509000,0.18520591341961967,0.10300115596720011,0.48534351737946246,0.5129489011558704,0.4598088591260573,0.8426737755443027
pSA_3.274549163000,0.16111776785182824,0.09896697758922067,0.4652026090332045,0.49551930756328616,0.45789425757521646,0.8195242539056777
pSA_3.511191734000,0.15012925911526642,0.09561543246549914,0.4487107699973385,0.4787098412452881,0.4531031273425534,0.7973750129169433
pSA_3.764935807000,0.13909874794436203,0.09370742206430531,0.4405639847309882,0.4647575157349221,0.44723901094052554,0.7811010856356572
pSA_4.000000000000,0.12720684148129713,0.09191301367092414,0.43458627384648035,0.4415036761660563,0.44355005813257664,0.7619234735544784
pSA_4.037017259000,0.12402995984144986,0.09170772223257362,0.4338325289302919,0.43923299143995204,0.4436585957625567,0.7602428779813365
pSA_4.328761281000,0.11599622883543055,0.08973529544264308,0.42257973092335477,0.4386150576369748,0.4320438725750792,0.7467387130735977
pSA_4.641588834000,0.12610351506361234,0.08552033982812851,0.3979118368553684,0.4388486455780623,0.412849525367307,0.7220572652022301
pSA_4.977023564000,0.13382536731171785,0.07920828233208058,0.3625953037000575,0.4286853301263675,0.3963651428307733,0.6872785410458767
pSA_5.000000000000,0.13368516129524521,0.0788238107201301,0.3604211332911867,0.42807763163110946,0.3957014925741894,0.6853710843413549
pSA_5.336699231000,0.13084563611806405,0.07440884111978396,0.33522750497724657,0.4192462831775732,0.3886787549475614,0.6627338082511456
pSA_5.722367659000,0.12286287666095608,0.07187640322396484,0.31873222711515237,0.41910999669810056,0.3807868794232338,0.6498015616131985
pSA_6.135907273000,0.11361343055096212,0.06940582023865877,0.30161873411170864,0.42173776469669694,0.37087349748292747,0.6374823558920946
pSA_6.579332247000,0.11460024717209244,0.06931391960311106,0.2989709108455301,0.42545066751094135,0.3658018419569869,0.6357695050853225
pSA_7.054802311000,0.12406227870638133,0.06989398201961752,0.30480411855390405,0.41692170628813646,0.36234404190462094,0.6308902159372985
pSA_7.500000000000,0.12731557078323905,0.07141646491133602,0.31568704522911445,0.40893238951054217,0.3604556648073886,0.6299303898114674
pSA_7.564633276000,0.12814098757858441,0.07160418947726012,0.3167393319500002,0.4077048121729162,0.35984609535510265,0.6293140953573175
pSA_8.111308308000,0.13695458189409307,0.07041214009391511,0.31210863759778257,0.3935218812156137,0.35567835598033093,0.6154497262746086
pSA_8.697490026000,0.13813283125340703,0.06746262111004875,0.30062377279567537,0.36729944507644396,0.3516961677563122,0.5907399847122637
pSA_9.326033469000,0.12008777089464065,0.0657663886619051,0.2965965942445378,0.33756484261528014,0.34495665786864826,0.5664932996031334
pSA_10.000000000000,0.10683909405718561,0.06333211528172271,0.28555324443532265,0.31663440140784505,0.34215373917148767,0.5466874617105041
EAS_0.050000000000,0.3351847820187411,0.059485470861759523,0.26661479300822283,0.14068946445942163,0.28215898419055574,0.4129051532981184
EAS_0.060000000000,0.22540263338820243,0.06015249740993769,0.28577614220764436,0.15246831397509478,0.2980233780440934,0.4401505697852775
EAS_0.070000000000,0.19135341047915724,0.06594549174888685,0.30981643428027533,0.22548949590085718,0.28133784725809036,0.4753763982483601
EAS_0.080000000000,0.1914845811397877,0.0657841192763785,0.31790137283644,0.22035139384764638,0.3010125064202885,0.49012707397502336
EAS_0.090000000000,0.17009967873173235,0.061464906156593974,0.29523567912459187,0.2193081633855034,0.31587154941230705,0.4848040970163239
EAS_0.100000000000,0.2116221833283754,0.06642139024968792,0.316606999230466,0.2594008541302248,0.3578437333552109,0.5436735533266316
EAS_0.107226722000,0.22133838047218773,0.07007828786040096,0.3334005381887291,0.28001220723659404,0.3909326440886771,0.5851419377212744
EAS_0.114975700000,0.2362418872928058,0.06855724851663654,0.3194675828254927,0.3117521690961211,0.3872357130904354,0.5909318479360861
EAS_0.123284674000,0.23093904712895544,0.07028223901736912,0.3227409924913094,0.34369932213426335,0.39298256573063756,0.6137803102397977
EAS_0.132194115000,0.19825224304185587,0.07383299189753306,0.33049034016090423,0.39900089481187645,0.4144945717571268,0.6634993059653282
EAS_0.141747416000,0.16048484250029,0.07116629911896369,0.3044087696460448,0.4366764948799247,0.41194324570416213,0.6730886255905053
EAS_0.151991108000,0.11923794893060886,0.06715049250454594,0.2715406874646908,0.45784275434307453,0.4035598141962646,0.667993155868661
EAS_0.162975084000,0.11857939308095196,0.0634729463772262,0.2535331596764676,0.44181115357499146,0.4026084222311391,0.6492839903541786
EAS_0.174752840000,0.16042791296269748,0.06472390845084065,0.2715424403798039,0.4161674349261167,0.4170909059272025,0.648764560243219
EAS_0.187381742000,0.17025422043060615,0.06692718469852413,0.28587941829687685,0.42019927333519064,0.42003512498130074,0.6593360124665116
EAS_0.200923300000,0.16521328849577482,0.07248322433026352,0.31527706674497935,0.4436340301690879,0.42439557684603657,0.6901611313206978
EAS_0.215443469000,0.1722624031245677,0.08054709473371664,0.3613741303783535,0.45810112783217527,0.4466833166270525,0.7348291575466817
EAS_0.231012970000,0.16200155718389866,0.08759098891304819,0.40615463682240316,0.44667846989185483,0.4784566582746604,0.7703272151005844
EAS_0.247707636000,0.17637585443032477,0.0921594429414262,0.43642311846047366,0.43106035778269947,0.4916943358143496,0.7861561487709856
EAS_0.265608778000,0.22625351399472937,0.09477345104311766,0.4487624972599387,0.44495362566389274,0.5102917488569685,0.8122617662366755
EAS_0.284803587000,0.25720089595431317,0.0980651011216442,0.4618450288553427,0.47333865830714705,0.5243737171521187,0.8439894024016728
EAS_0.305385551000,0.25592933540421164,0.09712460878661455,0.45074362458276224,0.5017601272651082,0.5136051005506089,0.8477754653955873
EAS_0.327454916000,0.30355629475247,0.09728881697016489,0.4463874785802047,0.5269079828719898,0.49915989861137045,0.8520882629335622
EAS_0.351119173000,0.3499741386849282,0.10452863235124299,0.48716627357868536,0.5390512851389696,0.5042426811913244,0.8844025936515185
EAS_0.376493581000,0.35894934320203453,0.1145646162691925,0.5440395061492315,0.5502665307869834,0.5166804661514974,0.9304466364375609
EAS_0.403701726000,0.3757227741556363,0.1209644421980934,0.5751489137925704,0.579783766563725,0.5313974798934319,0.9743350402426691
EAS_0.432876128000,0.4214421828909474,0.1268746869168215,0.6035593525611611,0.6110006812710265,0.5285525636143839,1.0084510583469302
EAS_0.464158883000,0.50005797743511,0.12904819202828094,0.6094504128403684,0.6438495497757296,0.528406360454084,1.032078160909355
EAS_0.497702356000,0.5915012606097443,0.13034653763389878,0.6153194326290815,0.6479944974205514,0.5587219384362901,1.0538904484567138
EAS_0.533669923000,0.6522260740079133,0.13227248268089029,0.6263399410389034,0.6487930973389445,0.5661468959463827,1.0647800301869876
EAS_0.572236766000,0.680547620958285,0.12642844976781092,0.5924682712040451,0.6468932853523583,0.5525082557994178,1.0367038862394569
EAS_0.613590727000,0.7200671178496713,0.12303752206287917,0.5745197243264638,0.6373123954440709,0.5477589931502284,1.0179783482981195
EAS_0.657933225000,0.78088968631284,0.1285288894050243,0.6030860346028751,0.6531721480803617,0.5693951922051305,1.055726055881568
EAS_0.705480231000,0.829581424143261,0.1273033097805432,0.5832551203214337,0.7059817252821725,0.5708586549630715,1.079109047205059
EAS_0.756463328000,0.9087825714147008,0.1222140006467401,0.5382985198932723,0.7580004440600107,0.5528017592128706,1.0816282886016366
EAS_0.811130831000,0.997088603059805,0.12280315329967562,0.5320437858346116,0.7931426502633356,0.5417013056135724,1.097991875295725
EAS_0.869749003000,1.08112088882656,0.12525411839245673,0.5435371838949747,0.8063736776260465,0.5502426763508297,1.1173353038020228
EAS_0.932603347000,1.1808785272452842,0.1280065165234044,0.5611601434271186,0.8049617410465204,0.5632547284498318,1.1314238817706137
EAS_1.000000000000,1.329783611107277,0.12400680335132867,0.5358435092384635,0.8046668336349098,0.5545975814104984,1.11453822583678
PGA,0.6671655548487563,0.12447327072769242,0.5794036250891188,0.6550183661313569,0.5387628178989027,1.0271431227858028
PGV,0.34601512836826714,0.11353105301884711,0.536148873884672,0.5652012749281689,0.47659258131304505,0.9132626044631746
CAV,1.2143011517793194,0.11642451744079951,0.5034718072215139,0.7708519774372885,0.3530538620232213,0.9860748760998765
AI,1.9568824104441913,0.23980201460751707,1.0849511153627358,1.411936837428403,0.8359550429635811,1.9671058409425781
Ds575,0.7467331437056829,0.0702891698054842,0.3300862421688645,0.3095104239222853,0.5487043388071571,0.7112173234754019
Ds595,0.7131144319786372,0.05951263083136541,0.264398668529077,0.3396935450257155,0.4078191176160358,0.592971157093841
