,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
pSA_1.000000000000,0.6752376154544415,0.11819333762913034,0.5099187485987825,0.7666711741854202,0.5528266225936898,1.0739735071908176
pSA_1.072267222000,0.5965715993864138,0.11986046036205295,0.5170801284461544,0.7788762387415353,0.549908107816524,1.0846284993270288
pSA_1.149756995000,0.530980088364884,0.11840899129215382,0.5054290837794222,0.7861061788832553,0.5478523299120739,1.0833114319523387
pSA_1.232846739000,0.4562450026086247,0.11728446401307692,0.5016172577933871,0.775386083559804,0.5437282791498707,1.0716734080127435
pSA_1.321941148000,0.38244311851373536,0.118888924353482,0.5186357220456327,0.7543329962269322,0.5391758670214523,1.0624085358075914
pSA_1.417474163000,0.3186329784187277,0.11930743054170807,0.5282111851461723,0.7306771646349195,0.5377392011323844,1.0497902759441735
pSA_1.519911083000,0.27672016220920975,0.1198238855706938,0.5375171018479167,0.7092602634935736,0.5332772996611467,1.0374774380601448
pSA_1.629750835000,0.23374927711453972,0.12012127676067534,0.5412155899042008,0.7033858465591467,0.5251718473280552,1.031247513025385
pSA_1.747528400000,0.19949758771030401,0.12021857748048399,0.5430674305875487,0.6983985959855302,0.5266579188928607,1.0295879741780598
pSA_1.873817423000,0.15308218884209712,0.12120832377987872,0.5489805900234546,0.6998187144042867,0.5218170563338286,1.0312220718806744
pSA_2.000000000000,0.10555342171217354,0.12051446709037857,0.5443014244392821,0.7020088224848141,0.5154515750798524,1.0270203278151058
pSA_2.009233003000,0.1024387789390373,0.12040232681812021,0.5435296624033404,0.7023506028171007,0.5150410328627544,1.0266392398121975
pSA_2.154434690000,0.05790836821627219,0.11925900330371043,0.5363609202781314,0.7034240230492451,0.5083744949038194,1.0202612508926832
pSA_2.310129700000,0.017776228697260272,0.11739287000106231,0.5323926824836072,0.6754031805793146,0.5019028899829538,0.9957499363153313
pSA_2.477076356000,-0.011029571819991776,0.1161436336403906,0.5309076876217599,0.6528385073465139,0.4886820322716774,0.9730730795348751
pSA_2.656087783000,-0.030514167428253813,0.1140375051009406,0.5228041981165665,0.6352539800838968,0.4769279127050932,0.9509637651866527
pSA_2.848035868000,-0.050962005930446155,0.11385549122209901,0.5233799086776562,0.630352176179659,0.4604877530649862,0.9398507144992246
pSA_3.000000000000,-0.0631606393132247,0.11286197840293999,0.5177230449584684,0.629527033301579,0.45374663942081234,0.9328598231911568
