,pSA_1.000000000000,pSA_1.072267222000,pSA_1.149756995000,pSA_1.232846739000,pSA_1.321941148000,pSA_1.417474163000,pSA_1.519911083000,pSA_1.629750835000,pSA_1.747528400000,pSA_1.873817423000,pSA_2.000000000000,pSA_2.009233003000,pSA_2.154434690000,pSA_2.310129700000,pSA_2.477076356000,pSA_2.656087783000,pSA_2.848035868000,pSA_3.000000000000,pSA_3.053855509000,pSA_3.274549163000,pSA_3.511191734000,pSA_3.764935807000,pSA_4.000000000000,pSA_4.037017259000,pSA_4.328761281000,pSA_4.641588834000,pSA_4.977023564000,pSA_5.000000000000,pSA_5.336699231000,pSA_5.722367659000,pSA_6.135907273000,pSA_6.579332247000,pSA_7.054802311000,pSA_7.500000000000,pSA_7.564633276000,pSA_8.111308308000,pSA_8.697490026000,pSA_9.326033469000,pSA_10.000000000000,EAS_0.050000000000,EAS_0.060000000000,EAS_0.070000000000,EAS_0.080000000000,EAS_0.090000000000,EAS_0.100000000000,EAS_0.107226722000,EAS_0.114975700000,EAS_0.123284674000,EAS_0.132194115000,EAS_0.141747416000,EAS_0.151991108000,EAS_0.162975084000,EAS_0.174752840000,EAS_0.187381742000,EAS_0.200923300000,EAS_0.215443469000,EAS_0.231012970000,EAS_0.247707636000,EAS_0.265608778000,EAS_0.284803587000,EAS_0.305385551000,EAS_0.327454916000,EAS_0.351119173000,EAS_0.376493581000,EAS_0.403701726000,EAS_0.432876128000,EAS_0.464158883000,EAS_0.497702356000,EAS_0.533669923000,EAS_0.572236766000,EAS_0.613590727000,EAS_0.657933225000,EAS_0.705480231000,EAS_0.756463328000,EAS_0.811130831000,EAS_0.869749003000,EAS_0.932603347000,EAS_1.000000000000,PGA,PGV,CAV,AI,Ds575,Ds595
event_1,0.08531438345728211,0.08561212213599229,0.08535085926226324,0.0845633332315329,0.0839287157662243,0.08324215656388134,0.08230774126190019,0.0814492412773043,0.0817688114129669,0.08148784318599642,0.08091061276557279,0.08087188605113944,0.08050199121555324,0.07885835001393832,0.07682642042553811,0.07528719319785285,0.07392145881743224,0.07318758957449048,0.07266844788550071,0.07056962363071077,0.0687497375566273,0.0661010533221946,0.06357058126615087,0.06331301828488578,0.061182444084268546,0.05868542522315281,0.056308022902492795,0.056193185469131705,0.054284754731172113,0.05268491021039857,0.052368641382977595,0.05312480516556953,0.054315688096415106,0.05514770153275483,0.05518473728767927,0.055358453565354876,0.05421279901681113,0.05226619474920001,0.05091442819335582,0.0523769882291254,0.04786888841262513,0.047784669413412965,0.049095649811666586,0.048788935541734774,0.052156623061869266,0.056407713771907904,0.05880956166078266,0.06108744855622924,0.062330465958250765,0.061264363880431244,0.05657185213611078,0.05318036018033113,0.054555536814675024,0.05625080513039859,0.058112576285711724,0.0619708965695041,0.0647282828688165,0.06809137793068412,0.07401539385776533,0.07808852826994896,0.07857257232758215,0.07742061883657116,0.07701821329507882,0.07798865578844344,0.08062457085357921,0.08319860936407804,0.08543909227417844,0.0870516940592475,0.0872948583950508,0.08557483450320076,0.08438225103663312,0.08459504494770227,0.0856515718716976,0.0856438261303263,0.0864500916851376,0.08758852270593151,0.0880220076254341,0.08784522954377282,0.08033396673105518,0.07127736822867407,0.06998043809577974,0.14573499551286642,0.06719826026789034,0.053614563062423105
event_2,0.09694449571462929,0.09710936303015366,0.09676906880268049,0.09591546648084821,0.09523570018715631,0.09526305676704533,0.09430059104919293,0.09323427605400417,0.09395844136484055,0.09352405488223081,0.09274819691525557,0.09269570537596739,0.09180668713776806,0.09010995588817595,0.08780318361043386,0.08570950161419817,0.0835989614227037,0.08268907305832095,0.08208336017898618,0.07965887788686268,0.0774366521029218,0.0744050056052273,0.07164379071327885,0.07136225313278895,0.069411062893414,0.06674625739361566,0.06533181067986633,0.06522431114571829,0.06329570833947508,0.06202203645979235,0.061752164074466855,0.06365126691714348,0.06583824160723396,0.06660875918395637,0.06661290326520816,0.06774291271767076,0.06856953585838221,0.07040395309776118,0.07397541854093555,0.12162425268607176,0.09923889543762206,0.08690446608963637,0.07894423283952831,0.0752551032759611,0.07805616361320108,0.07796757892150681,0.0759503741567022,0.0761624530511384,0.07634922997477063,0.07508057328588817,0.06847819960711514,0.0633677314171139,0.06525414350331896,0.0667289665472617,0.06842652475971789,0.07137904591130612,0.07436194214056949,0.07764454699483547,0.08477846112635794,0.08936778378046208,0.08965254987993745,0.08811533732946346,0.08777804667754067,0.08914454664265858,0.09239482422435628,0.09506546875790285,0.09738902590794198,0.09976228308806792,0.09988059719083478,0.09767883282867527,0.09613543255875066,0.09645549811320335,0.09752795982018297,0.09672876706383327,0.09760493106264878,0.09857250465198963,0.09905297383910625,0.09932517559365761,0.08999353773895702,0.07992987131088172,0.0750636766143796,0.1591170628317312,0.07867669575099102,0.06230640217980451
event_3,0.09979935957075603,0.0999360756984029,0.09957647912883619,0.0987058891741459,0.09801586689885551,0.09740176865655588,0.0979255790974364,0.09679962661908631,0.09687954854676498,0.09641156934373703,0.09558873653533911,0.09553306008623466,0.0945978736090306,0.09364095542688894,0.09124974304404682,0.08907610786134297,0.08682942843878046,0.08586326223175193,0.08522897367175962,0.08269717213295129,0.0803467599881354,0.07717960782335538,0.07491603548745047,0.07462075154968242,0.07208652703301245,0.06992222296442185,0.06752707995511399,0.06742031758097512,0.06546805804460287,0.06423819235468331,0.06455657504752621,0.06541569574157685,0.0684629595294789,0.06923487491189508,0.06923377182736659,0.06844946538284569,0.07016512707894063,0.06952237955555095,0.06969114956665479,0.1006956989706876,0.084992583958808,0.07945920059817453,0.07272751224644279,0.07127964712888009,0.07323973641947583,0.07692301217211447,0.07784023943628625,0.07701584516634474,0.07954647599566829,0.0782061451411244,0.07043042857460204,0.06628997225839973,0.06768747147946466,0.0691680886064675,0.07087816852301221,0.07502327443842298,0.07744890379767308,0.08146355064784482,0.08831556102828209,0.0930922259772854,0.0933207830789981,0.09166484326894031,0.09134713341910254,0.09273956567728889,0.09608376443213662,0.09878897008166185,0.10033943406937681,0.10281230738855383,0.10290589980209999,0.10059261508631256,0.09970321522140964,0.10005355030708625,0.09964866201775745,0.09946210324130142,0.10035459805480766,0.10128908181144058,0.10178277879739976,0.1021535720964891,0.09381533001695441,0.08335192019252544,0.07714599742136485,0.16452378027298173,0.08303048442661158,0.06561892669450817
event_4,0.106734299832436,0.10680652202150577,0.10639786452856691,0.10548506600338815,0.10477509659691596,0.10419247414623815,0.10320906698000823,0.1019984649715583,0.102106909565957,0.10158069914010394,0.10067919100866017,0.10061787344048208,0.09960027772496349,0.09785969285702902,0.09537354232169028,0.09311558926035968,0.09070548893758268,0.08966727641107844,0.08899716241841353,0.08634675942855496,0.08383301639817466,0.08051175936156119,0.07830939772622346,0.07800799374674125,0.07536782477754354,0.0739576547700502,0.0715249974963794,0.07141879344873889,0.07017749427706708,0.06821688521305098,0.0679614445584496,0.0703762958411916,0.07255306948864355,0.07529049064053228,0.07528121424401496,0.08014916602516292,0.08672301320737992,0.09225969670108368,0.09937356058347156,,0.1563679436256789,0.15415477940709144,0.13590950603329796,0.1197990376393971,0.10676119562356141,0.1037917110881527,0.09724815294542491,0.09102698175799895,0.08686241551474728,0.08304683847470215,0.07588561355032764,0.06978306475278608,0.07199482441675373,0.07436780636228278,0.07529994083077293,0.07960870551107617,0.08121012417660134,0.08540799987675761,0.09253722221069306,0.09753191087905781,0.09771178476737032,0.09590689525820693,0.09562012410344993,0.09704992325782055,0.10049530862842486,0.1032372844493635,0.10562713160113663,0.10827816294275278,0.10832483819648854,0.10581408587415035,0.10491094968247217,0.10530405829819775,0.10638487461260054,0.10610645886040493,0.10703350521153583,0.10790057172873058,0.1084318039195944,0.1090288093949957,0.10029484410955611,0.08915569977585998,0.08074037773803366,0.17378964211179376,0.09029671984503514,0.07114478625114797
event_5,0.09449214404341284,0.09468297972822248,0.09435721616292908,0.09351792764408572,0.09285115076651997,0.0922163377225435,0.0912651182959449,0.09025010100097522,0.09029539253415397,0.08990566216857906,0.08918747131594906,0.08913893210832764,0.0883090366097843,0.08830215986892463,0.08604350399820705,0.0839948947190252,0.08195371347558399,0.08107265693724759,0.08048130506162567,0.07811562799414391,0.07596036455360952,0.07345081836523677,0.07073056328298173,0.07045369227412984,0.06807452432408033,0.06544263050229185,0.0630802175401274,0.06297124505729879,0.06106322017653291,0.05933157607535583,0.0590702590164735,0.060298501430459596,0.06229695475993931,0.06305947952790665,0.0630734035376002,0.06282466450840564,0.06208050805056074,0.0608776167784637,0.059940007586516644,0.07451068248805794,0.06273514138914046,0.057378053888150454,0.057767301958069464,0.057900500819700086,0.06226669409816217,0.06666013957320449,0.06821133555775478,0.07017482615239976,0.07199503379704894,0.07082958054935257,0.06472250445979312,0.06051176072459548,0.062227360342818366,0.06416646299794729,0.06587380842222768,0.06986276284140266,0.07280055497581762,0.07656563780441887,0.0835459681447981,0.08746034083563992,0.08777743265224217,0.08629996138168422,0.08595425708443419,0.08731358416511487,0.09051080847743372,0.09315833276592816,0.09368989690672491,0.09593807169667003,0.09609108110322961,0.09402970416592514,0.09315185539747432,0.09344634012524487,0.09450855997077405,0.09437998895503007,0.09523757666326484,0.09624117483326197,0.09671481654054825,0.0968953394164886,0.08887513145409055,0.07893102376167063,0.07445765360372719,0.15754449813455637,0.07739264317252828,0.061326034039689746
event_6,0.09040238364775702,0.09063864490568506,0.09034110640086292,0.0895252819401861,0.08887329815827705,0.08867313206489826,0.0877297872059614,0.08677681578990587,0.08680291711466279,0.08645657264160068,0.08624343869451014,0.08619832198900067,0.08541818785529622,0.08375599277696574,0.08202369623804154,0.0800643110807744,0.07819069249900606,0.07737759030950886,0.0768200769960026,0.07457976503041946,0.07257937456205776,0.06975420935882042,0.06712265039609681,0.06685578557561733,0.06493000994305842,0.06235665157170816,0.05998565725071278,0.05987437589923106,0.057962812982507654,0.05628217919056526,0.05599073006187542,0.05745850309220809,0.0584855156600396,0.05927433520654458,0.05929902589698956,0.06051181701713523,0.06141049373639877,0.06023338894188425,0.06074497592508971,0.10101437291067591,0.0879207338311846,0.06692092505866601,0.06798503341635498,0.06595685208234746,0.06326143814288701,0.0659493233575876,0.0674679541732357,0.06740362498932755,0.06740786298795073,0.06628881395738997,0.061516898638142824,0.05716475243850566,0.05874649741008496,0.060580921554920376,0.06234716343606472,0.06627427662599027,0.06913358105522899,0.07231086724140386,0.07877917612499555,0.08308829722489623,0.08347884483068663,0.08214877270137318,0.08177814483218313,0.0831103686022676,0.08620326009802941,0.08836372824983826,0.09063436422883762,0.09277706458649437,0.09248392550293773,0.09056025797745335,0.08968616352291173,0.08994792730025575,0.09100655171734341,0.09047962921835795,0.09131376874927148,0.09237402714576427,0.09282978791408726,0.09285632918278014,0.08506739283975427,0.0755199832448702,0.07243492064923429,0.1522379080496426,0.07291589803689895,0.057934006147540025
event_7,0.08673291471736361,0.08701313662201555,0.08674095422479063,0.08594569642163866,0.08530765786892762,0.08463140663281236,0.08369675592148394,0.08281378823376442,0.08281508592802386,0.08252062144205262,0.08192522062965765,0.08188521732637699,0.08117913571517779,0.07953347811099556,0.07748637031022793,0.0756362240532479,0.07426307992035402,0.07352305598683406,0.07300091304168903,0.07089152802957595,0.06905668511868535,0.06638837012745212,0.06412077472069967,0.06386096081116457,0.06171208673733497,0.05920759531066938,0.056841623267962695,0.056727251911683076,0.05481961269877113,0.05319485812469577,0.0528826327932978,0.05364323548721434,0.05461986815808981,0.05544909925932587,0.05548493515948679,0.05567423999354482,0.05451458304584984,0.0527969344284889,0.051447438281336764,0.052392361370893245,0.04750464257876858,0.04752985147789842,0.04913458532132052,0.049353166945007465,0.05276706162109575,0.05705820965327903,0.05917270195888011,0.061469595971635246,0.06269237395597943,0.061624681105961775,0.05716226708353811,0.05374417134904144,0.05514681219454829,0.05687580033500476,0.05872428825039026,0.06257972883962065,0.06534736628629438,0.06874133626687623,0.07438660486105164,0.07848637435090379,0.07896447627265261,0.07779804793292946,0.07739858290853921,0.07836400966635618,0.08133394533046753,0.08391022304323567,0.08615372027249717,0.08814057054344682,0.08837212113980716,0.08660868093354909,0.08573890011228492,0.08596476796073185,0.08701888314647252,0.08698886650347902,0.08780132797384381,0.08891872969835751,0.08935975719580184,0.08923976609250303,0.08165520055646706,0.07246271524997554,0.07065876291520287,0.1475412916104757,0.06880532833292242,0.05482746652457525
event_8,0.09287829678121405,0.09308686322532993,0.09277251802188383,0.09194238352072862,0.09128087818314497,0.09063765377383327,0.08968974996032507,0.08921823495834239,0.0892580966672111,0.0888811379312199,0.08817926146845158,0.08813191068667911,0.08731861025577703,0.08564877765719038,0.08345295398080933,0.08146366875940299,0.07999437088704835,0.07914919389239118,0.07857568897882915,0.07627550617929507,0.07419981945994591,0.0717086234668343,0.06903621509442749,0.06876458965883687,0.06644732182341995,0.06385187627109631,0.06181904981809866,0.061709150948296855,0.059796772354311765,0.05844366031766571,0.05816107099386394,0.058963693394165205,0.06002171589403382,0.06081689024593884,0.061242274339481935,0.0609763642714202,0.05978512268084421,0.058525536081613184,0.05833764336435457,0.06930933193253566,0.06242998120589146,0.05830743262445713,0.05995961565819422,0.05890173186472148,0.060537703468862156,0.0638897137407324,0.06549716274099723,0.06795805333347656,0.06978029903727949,0.06812811216135262,0.06321816914172712,0.05952052443071478,0.061218981481052544,0.06270518267498484,0.06443708948492288,0.06801495117142971,0.07090419318998077,0.07457053988456146,0.08130311911731852,0.0851855290315655,0.08554158202342722,0.08414013206624844,0.08378028051426602,0.08460618550150441,0.08773470641498193,0.09036003714453472,0.0926433566593045,0.09485568790248135,0.09501984472463056,0.09299957671310947,0.09212250726747935,0.09188729673100811,0.09294831972094773,0.09284095361265479,0.09368987549515534,0.094714987992475,0.09518098949382484,0.09530163849685874,0.087371516563287,0.07758370929345267,0.07365656452894322,0.15544517569813796,0.07562280943104062,0.05998726393919687
event_9,0.09339881785325867,0.09360172562022892,0.093283009240994,0.09298918943269628,0.0923250049398332,0.09168901042872309,0.09073934904734048,0.08973506444403474,0.08977767117271702,0.08939457899246293,0.08868508884321669,0.08863711575093249,0.08781552447760099,0.08614228299811653,0.08393576886360456,0.0819354986878001,0.07998283555740407,0.07913744293931169,0.07856368634818649,0.07626410229153144,0.07418962309225906,0.07129136659981705,0.06862896825836022,0.06875245566641162,0.06680742033373062,0.06420316655795522,0.0618390751705688,0.061729081735067776,0.0598136900765638,0.05809612032477507,0.05817637483957169,0.05897972837305353,0.06044641511682642,0.06122876621687516,0.061249697824311305,0.061030911989542726,0.06109288671985207,0.06030715257070796,0.05977667015396145,0.07237653959310086,0.06802416507060667,0.06131531897177916,0.06136281853221005,0.060124195503077627,0.06215389141609371,0.06601998209603632,0.06705152618898998,0.06800886035949041,0.06978947627405531,0.06863380290660338,0.06323278611366953,0.05953403947196195,0.06081552395664969,0.06271848654150296,0.06445472430725138,0.06841634912599763,0.07131862998727467,0.07455214339439445,0.08076219699510119,0.08517063288819751,0.08552655362903609,0.08412578728194922,0.083767493098139,0.08511247094912815,0.08825282178203635,0.09088014974135503,0.09316789533546506,0.09539849102052483,0.09555632979061361,0.09351509604662672,0.09263773314606956,0.09292603934304525,0.09398690479908346,0.09386296911914524,0.09471675002232631,0.09520556549069734,0.0956753266306557,0.09581435802713448,0.08785892584311561,0.07802133991288973,0.07391495835835907,0.15612535967214655,0.0761975590674653,0.06042072828774752
event_10,0.09641876936717414,0.09658211034518843,0.09626266228133158,0.09541085944843367,0.09469915905709095,0.09405106492778005,0.0930737907922613,0.09201689653896916,0.0920717849744716,0.0916507107896252,0.09090752088526334,0.09085770571007136,0.09064652970110011,0.08895541751361091,0.0873196339108776,0.08588337649818764,0.08375449780332522,0.08283901324478543,0.08223241231664138,0.08041855634721852,0.07876054505929436,0.07624398702797801,0.07405202988805451,0.0744094550118873,0.07253503723206918,0.07049828996314311,0.07094282201606639,0.07083932994769793,0.06889099918113434,0.06772308779472182,0.0674978391207994,0.07001547248453124,0.07202172203439107,0.07369010565381999,0.07368500268442146,0.07359108839885739,0.07530829719103348,0.076347814925353,0.07551623144341438,0.12472316081569351,0.10084229947252236,0.08580785631539914,0.08435673645360492,0.07777891639956222,0.07943105024265651,0.08459167400248281,0.08361291583176911,0.08294777920279923,0.0847078359217942,0.08228039526000878,0.07552886658156496,0.06947764673643587,0.07155936859942347,0.07307651806051392,0.07479661272619932,0.07582652690816687,0.0780949464819569,0.08131405702798848,0.0872283684455221,0.09113780191591676,0.09062214021563511,0.08831879171103425,0.0879683610727703,0.08930722367340056,0.09187042755152233,0.09385496871832011,0.09617659223529926,0.0977919531473817,0.09792484797585116,0.09580308231286976,0.09492188511567187,0.09523510563636567,0.09634235563719568,0.09625274264121128,0.09716314415351118,0.09808987512877426,0.09853323922875443,0.0988250356298999,0.0905951846185087,0.08044816647015532,0.07535172235136972,0.15986565046254056,0.0794359204933395,0.06292168493620587
