,pSA_1.000000000000,pSA_1.072267222000,pSA_1.149756995000,pSA_1.232846739000,pSA_1.321941148000,pSA_1.417474163000,pSA_1.519911083000,pSA_1.629750835000,pSA_1.747528400000,pSA_1.873817423000,pSA_2.000000000000,pSA_2.009233003000,pSA_2.154434690000,pSA_2.310129700000,pSA_2.477076356000,pSA_2.656087783000,pSA_2.848035868000,pSA_3.000000000000,pSA_3.053855509000,pSA_3.274549163000,pSA_3.511191734000,pSA_3.764935807000,pSA_4.000000000000,pSA_4.037017259000,pSA_4.328761281000,pSA_4.641588834000,pSA_4.977023564000,pSA_5.000000000000,pSA_5.336699231000,pSA_5.722367659000,pSA_6.135907273000,pSA_6.579332247000,pSA_7.054802311000,pSA_7.500000000000,pSA_7.564633276000,pSA_8.111308308000,pSA_8.697490026000,pSA_9.326033469000,pSA_10.000000000000,EAS_0.050000000000,EAS_0.060000000000,EAS_0.070000000000,EAS_0.080000000000,EAS_0.090000000000,EAS_0.100000000000,EAS_0.107226722000,EAS_0.114975700000,EAS_0.123284674000,EAS_0.132194115000,EAS_0.141747416000,EAS_0.151991108000,EAS_0.162975084000,EAS_0.174752840000,EAS_0.187381742000,EAS_0.200923300000,EAS_0.215443469000,EAS_0.231012970000,EAS_0.247707636000,EAS_0.265608778000,EAS_0.284803587000,EAS_0.305385551000,EAS_0.327454916000,EAS_0.351119173000,EAS_0.376493581000,EAS_0.403701726000,EAS_0.432876128000,EAS_0.464158883000,EAS_0.497702356000,EAS_0.533669923000,EAS_0.572236766000,EAS_0.613590727000,EAS_0.657933225000,EAS_0.705480231000,EAS_0.756463328000,EAS_0.811130831000,EAS_0.869749003000,EAS_0.932603347000,EAS_1.000000000000,PGA,PGV,CAV,AI,Ds575,Ds595
stat_1,0.24212337835249878,0.24155287356462812,0.24096740364136673,0.2389723318755871,0.23654790594796674,0.23508931539379735,0.23254031853957444,0.2292840032707345,0.2296245652376826,0.22791827425817598,0.22561909878889666,0.2254766800431813,0.22299359370363772,0.21934631275356525,0.21341181224138647,0.20821776180429072,0.20188701556446398,0.19930350683621798,0.1977642216935388,0.19160224963288472,0.1853483432025324,0.177889654769269,0.17209934293499432,0.17152095636990433,0.16588582072891328,0.1612013541918085,0.15797851044885236,0.1578953147204025,0.15566993751716107,0.15339036967986458,0.15407708438288684,0.15597080476361644,0.15690743972326326,0.15618410926263193,0.15601179332661774,0.15368006284637573,0.1507642765778887,0.14473318910619629,0.14056221587246742,0.13497177628893778,0.1167165524869385,0.12094961988206271,0.1296121398040282,0.1321789717706268,0.1433824760477435,0.15648441159125004,0.16516409308773122,0.1716940236371717,0.17791971821781233,0.17883967586739288,0.17317654531498886,0.1693507493913341,0.1715618280845366,0.1737820652953276,0.17345951798435083,0.18001129108472533,0.18496381756362246,0.19317002247799916,0.21136956313720776,0.22151262480904316,0.22087084289335948,0.21595020115398725,0.2151443784751786,0.2173615061657444,0.22534229308698972,0.23157491922816117,0.2367102635486338,0.24274906577657662,0.2423948609487193,0.23627241965829204,0.23465602367877064,0.2358862015323935,0.23899450026728136,0.23940895181896144,0.24236952680763396,0.24179426140891705,0.24204017004988582,0.24624277259030172,0.22525860724482769,0.19992206037236612,0.16124154120975717,0.36794011650466707,0.1935196384429309,0.15976973982876297
stat_2,0.16594594236849236,0.16557233695327853,0.1650812376828739,0.16372603751942486,0.16223837732616922,0.16136393183079015,0.15973687453358765,0.15754231564499452,0.15780010240578737,0.15665260962070068,0.15505466092384548,0.15495299062839335,0.15322288417176988,0.15078109250451943,0.1467713248443044,0.14322313574574974,0.13890846675315502,0.13712792070044003,0.13606522423208037,0.13184210521340722,0.12758441870209483,0.12244266213969829,0.11836931954329967,0.11795755156583129,0.11403165879419816,0.11471882617042303,0.11227850747965967,0.11221055476428907,0.11047553180498677,0.10864632424775869,0.10905435401943303,0.11038749511436223,0.11128441805995175,0.11099705518223288,0.1108777014266638,0.10925323224822908,0.10723780506696055,0.10319348645031491,0.1003670729647123,0.0960573215106272,0.08969299113796636,0.09116123600470323,0.09773501740756908,0.09960235395250501,0.10365722766571911,0.11291667977779522,0.11866825802911969,0.12319885642682338,0.1274304257661119,0.12759404838807487,0.12274986199699009,0.11979902646728117,0.12214282202825089,0.12380447088647178,0.12310106249780291,0.1277185929097396,0.12663781498050955,0.13248457465855412,0.14533066011612167,0.15244507233681803,0.15192364551960813,0.1485106748335365,0.14808596669634427,0.14969304040379594,0.15505232707364505,0.15915320534881666,0.16257934038848038,0.1667940601865477,0.16654397939238857,0.16230488315276567,0.16118093584853233,0.16200407681242032,0.16394329246228764,0.16395201110311294,0.16579813183967385,0.16570489317594214,0.16604779617045048,0.1686527125160764,0.15471002195445008,0.137424329087574,0.11361641224975509,0.2551418953926222,0.14115265357818704,0.11357987118935056
stat_3,0.17215468805026818,0.17175313507125822,0.17125093946450495,0.16984651094690992,0.1682861883178183,0.16737523294740914,0.1656803202407853,0.16339213407592457,0.16366070901325808,0.16246032897956214,0.1607972184852315,0.1606917041254815,0.15889362875563623,0.15636083975407555,0.15219747341708836,0.14851626893998715,0.14401926285498504,0.14216796623239278,0.14106515706115755,0.13668138891957857,0.13225384095692114,0.12691835662783277,0.1227025560257322,0.12227829874717129,0.11821541475596722,0.11470444013164047,0.1122596382314556,0.11219165588922037,0.11046184077760307,0.1086332034220381,0.10904475367957274,0.11038111841513411,0.11127878936315623,0.11099953608498711,0.11087520263009355,0.1092517449507119,0.10724560079339603,0.10319226207555991,0.10454782362609748,0.11370940099569964,0.09358317340558471,0.09529740931740985,0.10216873888247101,0.10411229929926201,0.10787598364867043,0.11290728154376016,0.11866833980790718,0.1231865301803062,0.1274177166986423,0.12758063621308238,0.12273970787146875,0.11978861610699414,0.12212459193194398,0.1237851692135558,0.12307922480458836,0.12770136010972002,0.13141073589715857,0.13744804215526182,0.1507762882046661,0.15813790740209463,0.15757965958645478,0.1540247708964836,0.153579122437047,0.1552303582739593,0.16079310398246544,0.16504647327093255,0.1686011991720808,0.17297359270986254,0.17270563203523828,0.16829926153824112,0.16714268707210483,0.16800516600359278,0.1700308419931976,0.17006229606051657,0.17199565359673816,0.17184514515042998,0.17218028211576464,0.17494280544601382,0.1604525448922686,0.14251825151721717,0.11732818079890854,0.26408326286319905,0.14594184482215095,0.11765478192638859
stat_4,0.18796431722930643,0.1875012498694965,0.18696517614797964,0.18543432800422244,0.18370162920610858,0.18269997727807924,0.18083748546883224,0.17832483633500013,0.17862129391160167,0.17729402375572192,0.17546898236571704,0.17535367702192567,0.173384995394172,0.17063875449331914,0.16608101243741263,0.16205843581120113,0.15712331227531087,0.15509359846600293,0.1538888064460295,0.14909725649508312,0.14423162913049142,0.13841197224127247,0.14065899167995866,0.1401792858794059,0.13553546748086467,0.13161114157322415,0.12893003932789684,0.12885984943422424,0.12697659670124314,0.12497725654113959,0.12549748731764038,0.127023905727508,0.12794846619859865,0.12747898760238707,0.12732702774954768,0.12542249249166118,0.12308985936663677,0.1183489568248835,0.1218069896798109,,,0.12068424524697706,0.12932162589708612,0.11539794027191538,0.12508034614858343,0.1290648142375999,0.13586185556374733,0.1411160120464701,0.14605713201416806,0.14649301492337083,0.14130445932450333,0.1380731269743655,0.140484893247717,0.14234078843451936,0.14161223445988158,0.14685297881696333,0.15100139377129215,0.15785267488395874,0.1646413787383369,0.17263879704806473,0.172022417226175,0.16812160696005693,0.16762343096663057,0.16938998185342044,0.17547375863532058,0.180123713643936,0.18398569369062748,0.1887600148135042,0.18845161759149714,0.18362242581089647,0.18237584826740652,0.18332805767655685,0.1855610170533284,0.18563140270414896,0.1877725610262659,0.1875065439945108,0.18783733605027525,0.1909694168200334,0.17510813893747734,0.15552400480155013,0.1269119998399967,0.28707972988328717,0.15775143787363619,0.1278021570834219
stat_5,0.1658593280099462,0.16548541369621642,0.1649960883528007,0.1636414475782562,0.16215163086936527,0.16127743063167072,0.15964930975947783,0.15745341126894094,0.15771226504696548,0.15656467596367427,0.15496713234182843,0.15486557183737615,0.15313687127016032,0.1506902620242825,0.14668388037316055,0.14313870561458097,0.13882121227834612,0.13704201683312744,0.13598003150764182,0.13175960246449786,0.1275050170835425,0.1223632622759179,0.11829836649548474,0.11788750673165017,0.1139667215944856,0.11055259929791533,0.10816088622721283,0.10809272191694146,0.10639466619064679,0.10460029008113604,0.10498462146356449,0.10627604931383466,0.11131452197750609,0.11103522144714814,0.1109197142060726,0.11923614535754325,0.12310852408204068,0.14467572335439796,0.15389800414443172,,,,0.15709519673208563,0.1600593937916245,0.15606370109465673,0.15642316149820867,0.1358990523883712,0.13431993689287547,0.1274876288063876,0.12763286864718332,0.11812973733765601,0.11523086460579593,0.11753243750861568,0.11915567965594541,0.11848618562662112,0.12296878125345594,0.12657636950574144,0.13241445248456513,0.14524613988062426,0.15235726487412177,0.1518333401347981,0.14842074342506098,0.1479947988615948,0.14960329035542894,0.15495951694546709,0.15905792499725846,0.16248921978211,0.16670042594978285,0.16645111185294356,0.162215143809579,0.16109052147056466,0.16191510932609135,0.16385696117000526,0.16386922797914605,0.16571769151875845,0.1656208132009945,0.16596044775848723,0.16856680316090777,0.15461998158115203,0.1373424150658848,0.11355606830490117,0.25499314492930414,0.14109516256478946,0.11352976191124829
stat_6,0.17215243431405194,0.1717483216687879,0.17124524679976086,0.16984134307991622,0.16828214512771317,0.16737469548193534,0.1656881710200895,0.16339877824380758,0.16367137410201124,0.16246945956517264,0.1608035008856626,0.16069784981565513,0.1588992804725568,0.1563716500496423,0.15220713656496376,0.14852771009757795,0.14402676718845311,0.14217418980043403,0.14107095670277772,0.13668762395914802,0.13225639604957132,0.12692025205868862,0.12272776064663216,0.12230427361953602,0.11824077258261745,0.11473387541429429,0.1123022038513709,0.11223439595524957,0.11051195288176306,0.1086820843571081,0.10910594288188294,0.11044591225900131,0.11136194035517287,0.1110852551559131,0.11097227942475466,0.10935303316571444,0.10737344005322237,0.10336575694451806,0.10477298241345719,0.09239157374073989,0.09404178878153253,0.09168048494703337,0.09815878314449844,0.09994730571981379,0.10815111333620031,0.1131413943365635,0.11884213419684041,0.12333190897711223,0.12755703383644998,0.1276926087197827,0.1228136647778907,0.1198491775852471,0.12218453443359352,0.12384878016906421,0.12313339333919172,0.12774258073368475,0.13144833255947483,0.13748772239571233,0.15080151496389982,0.1581636037327049,0.15760178861176657,0.15404127414550614,0.15359811809488574,0.15524874864907523,0.16080738547075413,0.16505764328095127,0.16860617499037747,0.17297983458553967,0.1727106935499483,0.1683007457440144,0.16714272858367668,0.16800632147893343,0.17002303313117673,0.1700509096640385,0.17198323082413824,0.1718291134588714,0.17216454303989942,0.17493288800077028,0.16044488624617315,0.1425131104432936,0.11729012573129599,0.2640198174014528,0.14601526649300636,0.11770089051268175
stat_7,0.16037608906993303,0.16003066550879455,0.15955316237874934,0.158240997524506,0.15681242051811556,0.15596346487807544,0.15439143967114125,0.1522782674750707,0.15252343922835535,0.151424681151078,0.1498866939377137,0.14978875431193736,0.14812198920426184,0.14575052321254686,0.14187967170959484,0.1384513615755766,0.13429722149079423,0.13258273624574266,0.13155676411062678,0.12747899088814374,0.1233797172462512,0.11840858402675891,0.11445813135918616,0.11405830154021752,0.11025919694909167,0.10692478200738618,0.10456087257243751,0.10449195824478266,0.10280865402294205,0.10104331102199443,0.1013931209517392,0.10263919066146633,0.10352544205578405,0.10334115839999844,0.10323827007329474,0.10173699155330275,0.09985283841449018,0.09610693246112736,0.10459034436744848,,0.12609232636259107,0.11247957113409435,0.10712526960545278,0.1041222721146265,0.10790191208958119,0.10524843074740622,0.11054321890851132,0.11475450872084555,0.11868356382447251,0.11871588428820175,0.11402686516956304,0.11117721695179972,0.11344261421457977,0.11503439185031543,0.11442410770912723,0.11880768453721226,0.12233237592238333,0.12799913508395103,0.14040051271965118,0.14729387444048955,0.14680813170527518,0.14352766324210492,0.1431157541584914,0.14468934246528442,0.1498703526414022,0.15384114850400532,0.15716577909415846,0.16123435582852752,0.16100515273208804,0.1569225305767535,0.15582686571458562,0.15661661872493293,0.15848756553655935,0.15848829965167063,0.16026276261988787,0.16022059199449257,0.1605652802932691,0.16302455001570124,0.14955159346664743,0.13284313583274865,0.11033510770872122,0.24718122591857897,0.13672060337486575,0.10984434458110304
stat_8,0.13690436785265206,0.1366983778491364,0.1362803437053892,0.1351457921541431,0.13396679738774456,0.13321326915018725,0.13186840889931312,0.13011704391938078,0.13030492121799223,0.12942499964395518,0.12815465249386693,0.12807314186227872,0.1266840879176541,0.12459305864889998,0.12130047194195208,0.118374153291044,0.11493804808623019,0.11351004694076237,0.11264057478271686,0.1091793219559912,0.10575809267836035,0.10151777245341893,0.09806566504309583,0.09771442604458712,0.09444802431556236,0.09144860009395954,0.08920668517544425,0.08913255444903996,0.08749859659402269,0.08585359115743396,0.08605821952261977,0.08712758464043793,0.08799452882218241,0.08801771798302944,0.08794982954763307,0.08672280498436893,0.08700089621651248,0.08377180218958717,0.08152653737964065,0.09185105228535413,0.08098600978807283,0.07952289612153955,0.07677127193800447,0.07810841471289542,0.08439145748924592,0.09178691280995613,0.09627453776125934,0.09771737558893198,0.10103798806684254,0.10083091673227587,0.09644267788265878,0.09375505753552796,0.09581113765514643,0.09727921088856513,0.09700328709149646,0.10098039689111066,0.10415644603559017,0.1090712644639387,0.1195522590999595,0.1255140855433975,0.12522465508959776,0.12253367360623633,0.12216256133306015,0.12359746299643883,0.12804245312710585,0.13149901150827523,0.13441639522492974,0.13785654558326535,0.13772811710537577,0.13432517020927237,0.13333386391570265,0.13396672957399025,0.13555358608902487,0.13552431046559676,0.1369952116586353,0.1372070790373967,0.13756610412254913,0.13935828221267202,0.12783689402003767,0.11355132235523506,0.09682366153840219,0.21410449700684187,0.11714767952339748,0.09358988532004726
stat_9,0.17942527170837236,0.17899390376193,0.17847682282925256,0.17701438597659364,0.1753731615186233,0.1744198892412434,0.17264751217396418,0.17025392065523487,0.170535479584646,0.16927554612895848,0.16753682651874996,0.16742680076506722,0.16554937731323743,0.16291523830289176,0.15856874211182648,0.15473224182432355,0.15002936749195603,0.14809593184289113,0.1469461133902402,0.14237458265655528,0.1377482928894354,0.13218880163319918,0.12781019923843906,0.12737010829771486,0.12314184625588458,0.11951602059897617,0.11700884842386965,0.11694062079420516,0.1151723766656779,0.11330004669930566,0.1137460485806357,0.12057749366685412,0.12789494194891174,0.13503957582161705,0.13487431867097854,0.1420763450517285,0.15076013714129763,0.15889606435407705,0.15420844816157314,,,,,,0.15636032216143775,0.17075520264562155,0.16514251860768306,0.15924478611102252,0.154515694464351,0.14642851456890726,0.13413703542484934,0.12503136704784762,0.12739703632017657,0.12910807682872805,0.12837759624243564,0.13316740445097172,0.13699878876017052,0.1432686363572485,0.15715166080543905,0.1648049720754707,0.16421267297580014,0.16049660978897917,0.16002674766792394,0.1617311008997755,0.16753154112749288,0.17196820659903847,0.17566767219499269,0.18022544204599866,0.17993847670130306,0.17533698298308073,0.17413996782059776,0.17504540625003848,0.17716785023575365,0.17722010448315303,0.17925091854697595,0.1790429361649158,0.1793739580113667,0.18231123011093686,0.16718776309375655,0.1484946626420934,0.12171438510967972,0.27462303550238676,0.1514384304243038,0.12235965227872912
stat_10,0.14348998465572962,0.1432435196702175,0.14280664131024753,0.14162323663741586,0.14037793909952348,0.1396019890193297,0.13819762262653681,0.13634517343744706,0.1365506089386513,0.13560880472159328,0.13426187627821953,0.13417560108483578,0.13270691285162853,0.13053919965055705,0.1270850779651333,0.12401779728230558,0.12037914871596093,0.11886956726012303,0.11795592325307656,0.11432086126928884,0.11070805084454007,0.10626117043080106,0.10265700835851399,0.10229215349174098,0.09887700857281542,0.09825009970985828,0.09595720702790128,0.0958852123682166,0.0942235884768197,0.09512268271356984,0.0954066554008053,0.10640381022346476,0.12805919244889663,0.13527824157403684,0.13511467005296876,0.1331270650575024,0.15086142424970686,0.15889606435407705,0.15420844816157314,,,,0.15716817225881988,0.14417611067450825,0.15636032216143775,0.17075520264562155,0.1652527834796026,0.14957055955409615,0.15480544718059286,0.14662395651196533,0.118241901306418,0.10435115400991428,0.10655499335162855,0.10506743413592518,0.10465108234697551,0.10880677310778696,0.10924797530460262,0.11437590172096393,0.12541562254934868,0.13164263421618677,0.13129579905924052,0.12843771308718435,0.12805817891109728,0.12953241263194606,0.13418142379512524,0.13777740155224447,0.14080583097971275,0.14442539177934363,0.14426699010603986,0.1406698683914053,0.13964981442738314,0.1403267805200629,0.14198705855556934,0.14195855082753403,0.14351057367846853,0.1436517966193536,0.14400999447525467,0.14599087088058213,0.1339338233735975,0.11897099979003559,0.10058266924821789,0.22335088171802842,0.12272792537432854,0.09819502566286627
